"Date","Price","Open","High","Low","Change %"
"Feb 16","1.0827","1.0938","1.0951","1.0565","-0.67%"
"Jan 16","1.0900","1.0664","1.0980","1.0536","2.40%"
"Dec 15","1.0645","1.0979","1.1055","1.0524","-2.94%"
"Nov 15","1.0968","1.0530","1.1092","1.0495","4.26%"
"Oct 15","1.0520","1.0979","1.1042","1.0493","-4.09%"
"Sep 15","1.0969","1.1220","1.1352","1.0933","-2.14%"
"Aug 15","1.1209","1.1091","1.1392","1.0915","1.36%"
"Jul 15","1.1059","1.1396","1.1436","1.0887","-2.87%"
"Jun 15","1.1386","1.0755","1.1401","1.0694","6.09%"
"May 15","1.0732","1.0378","1.0904","1.0346","3.46%"
"Apr 15","1.0373","1.0181","1.0524","1.0001","1.93%"
"Mar 15","1.0177","1.0326","1.0541","1.0153","-1.37%"
"Feb 15","1.0318","1.0651","1.0745","1.0296","-3.46%"
"Jan 15","1.0688","1.0471","1.0803","1.0353","2.09%"
"Dec 14","1.0469","1.0841","1.0874","1.0417","-3.33%"
"Nov 14","1.0830","1.1269","1.1292","1.0813","-3.96%"
"Oct 14","1.1277","1.1200","1.1312","1.0977","0.70%"
"Sep 14","1.1199","1.1166","1.1322","1.0912","0.39%"
"Aug 14","1.1155","1.0934","1.1194","1.0917","2.08%"
"Jul 14","1.0928","1.0773","1.1053","1.0620","1.51%"
"Jun 14","1.0765","1.0959","1.1039","1.0705","-1.67%"
"May 14","1.0948","1.0778","1.0990","1.0647","1.66%"
"Apr 14","1.0769","1.0678","1.0919","1.0642","0.90%"
"Mar 14","1.0673","1.0635","1.0764","1.0531","0.33%"
"Feb 14","1.0638","1.0826","1.0954","1.0625","-1.65%"
"Jan 14","1.0816","1.0857","1.0910","1.0489","-0.29%"
"Dec 13","1.0848","1.1212","1.1232","1.0740","-3.13%"
"Nov 13","1.1199","1.1449","1.1497","1.1110","-2.13%"
"Oct 13","1.1443","1.1226","1.1588","1.1208","1.91%"
"Sep 13","1.1229","1.1538","1.1665","1.1173","-2.37%"
"Aug 13","1.1502","1.1249","1.1597","1.1201","2.30%"
"Jul 13","1.1243","1.1799","1.1842","1.1231","-4.71%"
"Jun 13","1.1799","1.2062","1.2106","1.1749","-2.06%"
"May 13","1.2047","1.2129","1.2173","1.1815","-0.59%"
"Apr 13","1.2119","1.2457","1.2474","1.2049","-2.54%"
"Mar 13","1.2435","1.2372","1.2686","1.2309","0.76%"
"Feb 13","1.2341","1.2425","1.2437","1.2140","-0.66%"
"Jan 13","1.2423","1.2546","1.2685","1.2395","-0.93%"
"Dec 12","1.2540","1.2709","1.2737","1.2452","-1.33%"
"Nov 12","1.2709","1.2615","1.2839","1.2513","0.80%"
"Oct 12","1.2608","1.2509","1.2710","1.2368","1.07%"
"Sep 12","1.2474","1.2855","1.2926","1.2483","-2.84%"
"Aug 12","1.2838","1.2975","1.3052","1.2788","-1.06%"
"Jul 12","1.2976","1.2806","1.3089","1.2728","1.77%"
"Jun 12","1.2750","1.2916","1.2954","1.2666","-1.27%"
"May 12","1.2914","1.2738","1.3056","1.2656","1.37%"
