"Date","Price","Open","High","Low","Change %"
"Mar 14","0.9262","0.8910","0.9297","0.8890","3.76%"
"Feb 14","0.8926","0.8752","0.9081","0.8730","1.98%"
"Jan 14","0.8753","0.8915","0.9089","0.8659","-1.80%"
"Dec 13","0.8913","0.9110","0.9171","0.8823","-2.16%"
"Nov 13","0.9110","0.9459","0.9545","0.9054","-3.68%"
"Oct 13","0.9458","0.9317","0.9757","0.9290","1.57%"
"Sep 13","0.9312","0.8941","0.9531","0.8924","4.68%"
"Aug 13","0.8896","0.8985","0.9234","0.8848","-0.94%"
"Jul 13","0.8980","0.9137","0.9319","0.8939","-1.71%"
"Jun 13","0.9136","0.9638","0.9794","0.9112","-4.54%"
"May 13","0.9570","1.0372","1.0384","0.9528","-7.71%"
"Apr 13","1.0369","1.0414","1.0584","1.0221","-0.46%"
"Mar 13","1.0417","1.0215","1.0500","1.0115","2.01%"
"Feb 13","1.0212","1.0424","1.0460","1.0182","-2.01%"
"Jan 13","1.0422","1.0394","1.0601","1.0374","0.28%"
"Dec 12","1.0393","1.0430","1.0588","1.0344","-0.32%"
"Nov 12","1.0426","1.0376","1.0491","1.0286","0.51%"
"Oct 12","1.0373","1.0363","1.0415","1.0148","-0.04%"
"Sep 12","1.0377","1.0287","1.0627","1.0165","0.55%"
"Aug 12","1.0320","1.0504","1.0615","1.0274","-1.71%"
"Jul 12","1.0500","1.0259","1.0541","1.0099","2.61%"
"Jun 12","1.0233","0.9726","1.0261","0.9581","5.20%"
"May 12","0.9727","1.0426","1.0432","0.9671","-6.68%"
"Apr 12","1.0423","1.0409","1.0476","1.0224","0.79%"
"Mar 12","1.0341","1.0730","1.0820","1.0303","-3.62%"
"Feb 12","1.0729","1.0614","1.0859","1.0567","1.08%"
"Jan 12","1.0614","1.0217","1.0690","1.0144","3.80%"
"Dec 11","1.0225","1.0279","1.0381","0.9860","-0.49%"
"Nov 11","1.0275","1.0540","1.0569","0.9662","-2.47%"
"Oct 11","1.0535","0.9668","1.0755","0.9388","9.08%"
"Sep 11","0.9658","1.0682","1.0767","0.9612","-9.75%"
"Aug 11","1.0701","1.0999","1.1068","0.9927","-2.61%"
"Jul 11","1.0988","1.0715","1.1083","1.0524","2.53%"
"Jun 11","1.0717","1.0656","1.0776","1.0389","0.46%"
"May 11","1.0668","1.0971","1.1014","1.0439","-2.71%"
"Apr 11","1.0965","1.0326","1.0979","1.0287","6.18%"
"Mar 11","1.0327","1.0183","1.0374","0.9707","1.41%"
"Feb 11","1.0183","0.9969","1.0203","0.9942","2.21%"
"Jan 11","0.9963","1.0206","1.0229","0.9804","-2.49%"
"Dec 10","1.0217","0.9605","1.0268","0.9549","6.68%"
"Nov 10","0.9577","0.9850","1.0185","0.9545","-2.64%"
"Oct 10","0.9837","0.9660","1.0006","0.9543","1.75%"
"Sep 10","0.9668","0.8921","0.9734","0.8911","8.52%"
"Aug 10","0.8909","0.9059","0.9224","0.8771","-1.47%"
"Jul 10","0.9042","0.8395","0.9070","0.8316","7.64%"
"Jun 10","0.8400","0.8471","0.8860","0.8087","-0.78%"
"May 10","0.8466","0.9227","0.9276","0.8066","-8.44%"
"Apr 10","0.9246","0.9173","0.9385","0.9135","0.86%"
"Mar 10","0.9167","0.8960","0.9252","0.8934","2.41%"
"Feb 10","0.8951","0.8803","0.9074","0.8579","1.18%"
"Jan 10","0.8847","0.8972","0.9332","0.8833","-1.40%"
"Dec 09","0.8973","0.9159","0.9327","0.8734","-1.95%"
"Nov 09","0.9151","0.8971","0.9406","0.8906","1.76%"
"Oct 09","0.8993","0.8839","0.9329","0.8569","1.77%"
"Sep 09","0.8837","0.8438","0.8850","0.8239","4.64%"
"Aug 09","0.8445","0.8351","0.8478","0.8155","1.09%"
"Jul 09","0.8354","0.8061","0.8369","0.7702","3.53%"
"Jun 09","0.8069","0.8028","0.8266","0.7790","0.71%"
"May 09","0.8012","0.7254","0.8017","0.7242","10.48%"
"Apr 09","0.7252","0.6916","0.7384","0.6855","4.77%"
"Mar 09","0.6922","0.6384","0.7095","0.6285","8.17%"
"Feb 09","0.6399","0.6357","0.6850","0.6246","0.76%"
"Jan 09","0.6351","0.7026","0.7268","0.6344","-10.25%"
"Dec 08","0.7076","0.6532","0.7141","0.6291","8.01%"
"Nov 08","0.6551","0.6701","0.7016","0.6076","-1.92%"
"Oct 08","0.6679","0.7950","0.8022","0.6007","-15.92%"
"Sep 08","0.7944","0.8566","0.8582","0.7802","-7.43%"
"Aug 08","0.8582","0.9415","0.9419","0.8495","-8.88%"
"Jul 08","0.9418","0.9583","0.9850","0.9396","-1.68%"
"Jun 08","0.9579","0.9546","0.9668","0.9326","0.21%"
"May 08","0.9559","0.9433","0.9655","0.9275","1.42%"
"Apr 08","0.9425","0.9133","0.9543","0.9030","3.27%"
"Mar 08","0.9127","0.9326","0.9473","0.8953","-2.02%"
"Feb 08","0.9315","0.8956","0.9499","0.8872","3.95%"
"Jan 08","0.8961","0.8744","0.9020","0.8512","2.31%"
"Dec 07","0.8759","0.8828","0.8906","0.8551","-0.94%"
"Nov 07","0.8842","0.9319","0.9404","0.8651","-5.16%"
"Oct 07","0.9323","0.8879","0.9346","0.8749","5.07%"
"Sep 07","0.8873","0.8159","0.8889","0.8157","8.51%"
"Aug 07","0.8177","0.8504","0.8663","0.7672","-3.91%"
"Jul 07","0.8510","0.8523","0.8872","0.8458","0.26%"
"Jun 07","0.8488","0.8275","0.8522","0.8267","2.55%"
"May 07","0.8277","0.8295","0.8355","0.8161","-0.36%"
"Apr 07","0.8307","0.8099","0.8394","0.8062","2.75%"
"Mar 07","0.8085","0.7874","0.8127","0.7679","2.59%"
"Feb 07","0.7881","0.7768","0.7947","0.7706","1.45%"
"Jan 07","0.7768","0.7878","0.7986","0.7695","-1.58%"
"Dec 06","0.7893","0.7890","0.7933","0.7779","0.10%"
"Nov 06","0.7885","0.7736","0.7905","0.7613","1.85%"
"Oct 06","0.7742","0.7452","0.7755","0.7412","3.71%"
"Sep 06","0.7465","0.7633","0.7723","0.7433","-2.29%"
"Aug 06","0.7640","0.7654","0.7717","0.7549","-0.29%"
"Jul 06","0.7662","0.7433","0.7682","0.7396","3.22%"
"Jun 06","0.7423","0.7516","0.7546","0.7268","-1.34%"
"May 06","0.7524","0.7587","0.7794","0.7464","-0.70%"
"Apr 06","0.7577","0.7157","0.7607","0.7113","5.78%"
"Mar 06","0.7163","0.7426","0.7488","0.7013","-3.53%"
"Feb 06","0.7425","0.7581","0.7589","0.7339","-2.14%"
"Jan 06","0.7587","0.7327","0.7589","0.7313","3.44%"
