Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig
Reefton Ews,Apr-04,0,61,-,-,D
Reefton Ews,Apr-04,2,11.3,-,-,D
Reefton Ews,May-04,0,190.2,-,-,D
Reefton Ews,May-04,2,9.1,-,-,D
Reefton Ews,Jun-04,0,322,-,-,D
Reefton Ews,Jun-04,2,7.2,-,-,D
Reefton Ews,Jul-04,0,123.8,-,-,D
Reefton Ews,Jul-04,2,3.8,-,-,D
Reefton Ews,Aug-04,0,228,-,-,D
Reefton Ews,Aug-04,2,5.4,-,-,D
Reefton Ews,Sep-04,0,220.4,-,-,D
Reefton Ews,Sep-04,2,8.1,-,-,D
Reefton Ews,Oct-04,0,133,-,-,D
Reefton Ews,Oct-04,2,10.9,-,-,D
Reefton Ews,Nov-04,0,97.2,-,-,D
Reefton Ews,Nov-04,2,13.4,-,-,D
Reefton Ews,Dec-04,0,257.2,-,-,D
Reefton Ews,Dec-04,2,12.1,-,-,D
Reefton Ews,Jan-05,0,65.6,-,-,D
Reefton Ews,Jan-05,2,16.4,-,-,D
Reefton Ews,Feb-05,0,155.6,-,-,D
Reefton Ews,Feb-05,2,17.9,-,-,D
Reefton Ews,Mar-05,0,144,-,-,D
Reefton Ews,Mar-05,2,14.8,-,-,D
Reefton Ews,Apr-05,0,68.8,-,-,D
Reefton Ews,Apr-05,2,10.8,-,-,D
Reefton Ews,May-05,0,90.6,-,-,D
Reefton Ews,May-05,2,9.2,-,-,D
Reefton Ews,Jun-05,0,143.6,-,-,D
Reefton Ews,Jun-05,2,5.5,-,-,D
Reefton Ews,Jul-05,0,152.6,-,-,D
Reefton Ews,Jul-05,2,7,-,-,D
Reefton Ews,Aug-05,0,104,-,-,D
Reefton Ews,Aug-05,2,8.7,-,-,D
Reefton Ews,Sep-05,0,75.8,-,-,D
Reefton Ews,Sep-05,2,10.7,-,-,D
Reefton Ews,Oct-05,0,105.2,-,-,D
Reefton Ews,Oct-05,2,11.9,-,-,D
Reefton Ews,Nov-05,0,55.2,-,-,D
Reefton Ews,Nov-05,2,14.7,-,-,D
Reefton Ews,Dec-05,0,136.8,-,-,D
Reefton Ews,Dec-05,2,18.2,-,-,D
Reefton Ews,Jan-06,0,134.6,-,-,D
Reefton Ews,Jan-06,2,16.8,-,-,D
Reefton Ews,Feb-06,0,67,-,-,D
Reefton Ews,Feb-06,2,17.5,-,-,D
Reefton Ews,Mar-06,0,65.6,-,-,D
Reefton Ews,Mar-06,2,14.9,-,-,D
Reefton Ews,Apr-06,0,373.2,-,-,D
Reefton Ews,Apr-06,2,13.4,*,-,D
Reefton Ews,May-06,0,75.4,-,-,D
Reefton Ews,May-06,2,9.1,-,-,D
Reefton Ews,Jun-06,0,256.6,-,-,D
Reefton Ews,Jun-06,2,4.4,-,-,D
Reefton Ews,Jul-06,0,134.4,-,-,D
Reefton Ews,Jul-06,2,5.4,-,-,D
Reefton Ews,Aug-06,0,93.4,-,-,D
Reefton Ews,Aug-06,2,6.8,-,-,D
Reefton Ews,Sep-06,0,129.4,-,-,D
Reefton Ews,Sep-06,2,10.8,-,-,D
Reefton Ews,Oct-06,0,164.8,-,-,D
Reefton Ews,Oct-06,2,11.1,-,-,D
Reefton Ews,Nov-06,0,351,-,-,D
Reefton Ews,Nov-06,2,12.3,-,-,D
Reefton Ews,Dec-06,0,102.6,-,-,D
Reefton Ews,Dec-06,2,13.4,-,-,D
Reefton Ews,Jan-07,0,115.6,-,-,D
Reefton Ews,Jan-07,2,17.1,-,-,D
Reefton Ews,Feb-07,0,54,-,-,D
Reefton Ews,Feb-07,2,18,-,-,D
Reefton Ews,Mar-07,0,115.6,-,-,D
Reefton Ews,Mar-07,2,15.7,-,-,D
Reefton Ews,Apr-07,0,87.2,-,-,D
Reefton Ews,Apr-07,2,11.9,*,-,D
Reefton Ews,May-07,0,133.6,*,-,D
Reefton Ews,May-07,2,10.8,-,-,D
Reefton Ews,Jun-07,0,285.8,-,-,D
Reefton Ews,Jun-07,2,4.3,-,-,D
Reefton Ews,Jun-07,9,46.3,-,-,D
Reefton Ews,Jul-07,0,104.2,-,-,D
Reefton Ews,Jul-07,2,5,-,-,D
Reefton Ews,Jul-07,9,118,-,-,D
Reefton Ews,Aug-07,0,156.2,-,-,D
Reefton Ews,Aug-07,2,7.7,-,-,D
Reefton Ews,Aug-07,9,98.1,-,-,D
Reefton Ews,Sep-07,0,146.2,-,-,D
Reefton Ews,Sep-07,2,10.1,*,-,D
Reefton Ews,Sep-07,9,160.4,-,-,D
Reefton Ews,Oct-07,0,379.6,-,-,D
Reefton Ews,Oct-07,2,9.9,-,-,D
Reefton Ews,Oct-07,9,113,-,-,D
Reefton Ews,Nov-07,0,25.4,-,-,D
Reefton Ews,Nov-07,2,13,-,-,D
Reefton Ews,Nov-07,9,229.6,-,-,D
Reefton Ews,Dec-07,0,83.6,-,-,D
Reefton Ews,Dec-07,2,16.7,-,-,D
Reefton Ews,Dec-07,9,158,-,-,D
Reefton Ews,Jan-08,0,98.2,-,-,D
Reefton Ews,Jan-08,2,18.5,-,-,D
Reefton Ews,Jan-08,9,261.2,-,-,D
Reefton Ews,Feb-08,0,118.2,-,-,D
Reefton Ews,Feb-08,2,17.3,-,-,D
Reefton Ews,Feb-08,9,168.7,-,-,D
Reefton Ews,Mar-08,0,115.6,-,-,D
Reefton Ews,Mar-08,2,15.8,-,-,D
Reefton Ews,Mar-08,9,167.1,-,-,D
Reefton Ews,Apr-08,0,134.6,-,-,D
Reefton Ews,Apr-08,2,12.1,-,-,D
Reefton Ews,Apr-08,9,141.6,-,-,D
Reefton Ews,May-08,0,25.8,-,-,D
Reefton Ews,May-08,2,6.7,-,-,D
Reefton Ews,Jun-08,0,188.8,-,-,D
Reefton Ews,Jun-08,2,6.3,-,-,D
Reefton Ews,Jul-08,0,257,-,-,D
Reefton Ews,Jul-08,2,5.4,-,-,D
Reefton Ews,Jul-08,9,76.7,-,-,D
Reefton Ews,Aug-08,0,200.4,-,-,D
Reefton Ews,Aug-08,2,6.6,-,-,D
Reefton Ews,Aug-08,9,76.1,-,-,D
Reefton Ews,Sep-08,0,173.2,-,-,D
Reefton Ews,Sep-08,2,9.5,-,-,D
Reefton Ews,Sep-08,9,124,-,-,D
Reefton Ews,Oct-08,0,141.6,-,-,D
Reefton Ews,Oct-08,2,10.2,-,-,D
Reefton Ews,Oct-08,9,123.1,-,-,D
Reefton Ews,Nov-08,0,268.2,-,-,D
