month,diesel,petrol
Nov-99,,
Oct-99,,
Sep-99,,
Aug-99,,
Jul-99,,
Jun-99,,
May-99,,
Apr-99,,
Mar-99,,
Feb-99,,
Jan-99,,
