Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr
Paraparaumu Aero,Apr-99,2,14.1,-
Paraparaumu Aero,Apr-99,9,203.2,-
Paraparaumu Aero,May-99,0,166.9,-
Paraparaumu Aero,May-99,2,13,-
Paraparaumu Aero,May-99,9,114.9,-
Paraparaumu Aero,Jun-99,0,34.1,-
Paraparaumu Aero,Jun-99,2,10,-
Paraparaumu Aero,Jun-99,9,128.6,-
Paraparaumu Aero,Jul-99,0,68.6,-
Paraparaumu Aero,Jul-99,2,9.9,-
Paraparaumu Aero,Jul-99,9,110.5,-
Paraparaumu Aero,Aug-99,0,71.5,-
Paraparaumu Aero,Aug-99,2,9,-
Paraparaumu Aero,Aug-99,9,172,-
Paraparaumu Aero,Sep-99,0,61.2,-
Paraparaumu Aero,Sep-99,2,11.7,-
Paraparaumu Aero,Sep-99,9,165.3,-
Paraparaumu Aero,Oct-99,0,57,-
Paraparaumu Aero,Oct-99,2,13.6,-
Paraparaumu Aero,Oct-99,9,158.9,-
Paraparaumu Aero,Nov-99,0,105.6,-
Paraparaumu Aero,Nov-99,2,15.3,-
Paraparaumu Aero,Nov-99,9,151.1,-
Paraparaumu Aero,Dec-99,0,83.4,-
Paraparaumu Aero,Dec-99,2,15.2,-
Paraparaumu Aero,Dec-99,9,225.7,-
Paraparaumu Aero,Jan-00,0,103.3,-
Paraparaumu Aero,Jan-00,2,16.8,-
Paraparaumu Aero,Jan-00,9,237.7,-
Paraparaumu Aero,Feb-00,0,19.4,-
Paraparaumu Aero,Feb-00,2,17.5,-
Paraparaumu Aero,Feb-00,9,209.7,-
Paraparaumu Aero,Mar-00,0,37.8,-
Paraparaumu Aero,Mar-00,2,15.2,-
Paraparaumu Aero,Mar-00,9,202.8,-
Paraparaumu Aero,Apr-00,0,111.6,-
Paraparaumu Aero,Apr-00,2,14.7,-
Paraparaumu Aero,Apr-00,9,118.9,-
Paraparaumu Aero,May-00,0,109,-
Paraparaumu Aero,May-00,2,12.4,-
Paraparaumu Aero,May-00,9,137,-
Paraparaumu Aero,Jun-00,0,119.4,-
Paraparaumu Aero,Jun-00,2,10.5,-
Paraparaumu Aero,Jun-00,9,68.2,-
Paraparaumu Aero,Jul-00,0,26.2,-
Paraparaumu Aero,Jul-00,2,9.2,-
Paraparaumu Aero,Jul-00,9,167.7,-
Paraparaumu Aero,Aug-00,0,46.1,-
Paraparaumu Aero,Aug-00,2,9.2,-
Paraparaumu Aero,Aug-00,9,162.1,-
Paraparaumu Aero,Sep-00,0,97.1,-
Paraparaumu Aero,Sep-00,2,11.1,-
Paraparaumu Aero,Sep-00,9,129.5,-
Paraparaumu Aero,Oct-00,0,103.8,-
Paraparaumu Aero,Oct-00,2,12.6,-
Paraparaumu Aero,Oct-00,9,180.4,-
Paraparaumu Aero,Nov-00,0,23.8,-
Paraparaumu Aero,Nov-00,2,12.2,-
Paraparaumu Aero,Nov-00,9,233.9,-
Paraparaumu Aero,Dec-00,0,53,-
Paraparaumu Aero,Dec-00,2,17,-
Paraparaumu Aero,Dec-00,9,215.9,-
Paraparaumu Aero,Jan-01,0,23.2,-
Paraparaumu Aero,Jan-01,2,16.8,-
Paraparaumu Aero,Jan-01,9,260.9,-
Paraparaumu Aero,Feb-01,0,19.9,-
Paraparaumu Aero,Feb-01,2,18.2,-
Paraparaumu Aero,Feb-01,9,216.9,-
Paraparaumu Aero,Mar-01,0,67.9,-
Paraparaumu Aero,Mar-01,2,15.3,-
Paraparaumu Aero,Mar-01,9,207.1,-
Paraparaumu Aero,Apr-01,0,34.8,-
Paraparaumu Aero,Apr-01,2,13.2,-
Paraparaumu Aero,Apr-01,9,168.3,-
Paraparaumu Aero,May-01,0,75.6,-
Paraparaumu Aero,May-01,2,12.5,-
Paraparaumu Aero,May-01,9,133.5,-
Paraparaumu Aero,Jun-01,0,88.4,-
Paraparaumu Aero,Jun-01,2,10.3,-
Paraparaumu Aero,Jun-01,9,88.5,-
Paraparaumu Aero,Jul-01,0,105.8,-
Paraparaumu Aero,Jul-01,2,6.8,-
