Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,042027,1932,10,45.2,Y
IDCJAC0001,042027,1932,11,58.2,Y
IDCJAC0001,042027,1932,12,47.9,Y
IDCJAC0001,042027,1933,01,44.2,Y
IDCJAC0001,042027,1933,02,96.3,Y
IDCJAC0001,042027,1933,03,5.8,Y
IDCJAC0001,042027,1933,04,61.3,Y
IDCJAC0001,042027,1933,05,16.7,Y
IDCJAC0001,042027,1933,06,52.8,Y
IDCJAC0001,042027,1933,07,65.3,Y
IDCJAC0001,042027,1933,08,34.6,Y
IDCJAC0001,042027,1933,09,36.1,Y
IDCJAC0001,042027,1933,10,51.4,Y
IDCJAC0001,042027,1933,11,120.2,Y
IDCJAC0001,042027,1933,12,10.7,Y
IDCJAC0001,042027,1934,01,11.1,Y
IDCJAC0001,042027,1934,02,222.9,Y
IDCJAC0001,042027,1934,03,4.8,Y
IDCJAC0001,042027,1934,04,12.2,Y
IDCJAC0001,042027,1934,05,123.2,Y
IDCJAC0001,042027,1934,06,17.8,Y
IDCJAC0001,042027,1934,07,36.1,Y
IDCJAC0001,042027,1934,08,45.7,Y
IDCJAC0001,042027,1934,09,25.9,Y
IDCJAC0001,042027,1934,10,126.4,Y
IDCJAC0001,042027,1934,11,63.1,Y
IDCJAC0001,042027,1934,12,115.3,Y
IDCJAC0001,042027,1935,01,83.8,Y
IDCJAC0001,042027,1935,02,14.0,Y
IDCJAC0001,042027,1935,03,0.0,Y
IDCJAC0001,042027,1935,04,13.7,Y
IDCJAC0001,042027,1935,05,1.0,Y
IDCJAC0001,042027,1935,06,1.3,Y
IDCJAC0001,042027,1935,07,25.1,Y
IDCJAC0001,042027,1935,08,6.9,Y
IDCJAC0001,042027,1935,09,68.7,Y
IDCJAC0001,042027,1935,10,31.5,Y
IDCJAC0001,042027,1935,11,13.2,Y
IDCJAC0001,042027,1935,12,44.2,Y
IDCJAC0001,042027,1936,01,90.2,Y
IDCJAC0001,042027,1936,02,60.7,Y
IDCJAC0001,042027,1936,03,52.5,Y
IDCJAC0001,042027,1936,04,7.6,Y
IDCJAC0001,042027,1936,05,23.8,Y
IDCJAC0001,042027,1936,06,19.8,Y
IDCJAC0001,042027,1936,07,52.0,Y
IDCJAC0001,042027,1936,08,25.4,Y
IDCJAC0001,042027,1936,09,23.1,Y
IDCJAC0001,042027,1936,10,17.5,Y
IDCJAC0001,042027,1936,11,0.0,Y
IDCJAC0001,042027,1936,12,161.0,Y
IDCJAC0001,042027,1937,01,64.3,Y
IDCJAC0001,042027,1937,02,33.5,Y
IDCJAC0001,042027,1937,03,163.1,Y
IDCJAC0001,042027,1937,04,0.0,Y
IDCJAC0001,042027,1937,05,0.0,Y
IDCJAC0001,042027,1937,06,31.9,Y
IDCJAC0001,042027,1937,07,11.4,Y
IDCJAC0001,042027,1937,08,8.0,Y
IDCJAC0001,042027,1937,09,4.3,Y
IDCJAC0001,042027,1937,10,16.5,Y
IDCJAC0001,042027,1937,11,75.2,Y
IDCJAC0001,042027,1937,12,0.0,Y
IDCJAC0001,042027,1938,01,31.4,Y
IDCJAC0001,042027,1938,02,33.1,Y
IDCJAC0001,042027,1938,03,7.6,Y
IDCJAC0001,042027,1938,04,23.4,Y
IDCJAC0001,042027,1938,05,138.7,Y
IDCJAC0001,042027,1938,06,47.2,Y
IDCJAC0001,042027,1938,07,3.1,Y
IDCJAC0001,042027,1938,08,36.6,Y
IDCJAC0001,042027,1938,09,15.2,Y
IDCJAC0001,042027,1938,10,147.7,Y
IDCJAC0001,042027,1938,11,37.5,Y
IDCJAC0001,042027,1938,12,0.0,Y
IDCJAC0001,042027,1939,01,116.9,Y
IDCJAC0001,042027,1939,02,2.0,Y
IDCJAC0001,042027,1939,03,115.8,Y
IDCJAC0001,042027,1939,04,75.4,Y
IDCJAC0001,042027,1939,05,5.0,Y
IDCJAC0001,042027,1939,06,45.5,Y
IDCJAC0001,042027,1939,07,22.4,Y
IDCJAC0001,042027,1939,08,52.1,Y
IDCJAC0001,042027,1939,09,10.2,Y
IDCJAC0001,042027,1939,10,10.7,Y
IDCJAC0001,042027,1939,11,37.3,Y
IDCJAC0001,042027,1939,12,41.7,Y
IDCJAC0001,042027,1940,01,14.5,Y
IDCJAC0001,042027,1940,02,76.8,Y
IDCJAC0001,042027,1940,03,82.0,Y
IDCJAC0001,042027,1940,04,8.9,Y
IDCJAC0001,042027,1940,05,21.0,Y
IDCJAC0001,042027,1940,06,0.8,Y
IDCJAC0001,042027,1940,07,0.0,Y
IDCJAC0001,042027,1940,08,1.0,Y
IDCJAC0001,042027,1940,09,26.9,Y
IDCJAC0001,042027,1940,10,11.1,Y
IDCJAC0001,042027,1940,11,10.6,Y
IDCJAC0001,042027,1940,12,92.8,Y
IDCJAC0001,042027,1941,01,215.6,Y
IDCJAC0001,042027,1941,02,21.6,Y
IDCJAC0001,042027,1941,03,196.1,Y
IDCJAC0001,042027,1941,04,2.8,Y
IDCJAC0001,042027,1941,05,8.9,Y
IDCJAC0001,042027,1941,06,29.0,Y
IDCJAC0001,042027,1941,07,5.9,Y
IDCJAC0001,042027,1941,08,2.5,Y
IDCJAC0001,042027,1941,09,2.3,Y
IDCJAC0001,042027,1941,10,42.9,Y
IDCJAC0001,042027,1941,11,92.0,Y
IDCJAC0001,042027,1941,12,4.0,Y
IDCJAC0001,042027,1942,01,35.8,Y
IDCJAC0001,042027,1942,02,34.1,Y
IDCJAC0001,042027,1942,03,20.6,Y
IDCJAC0001,042027,1942,04,2.5,Y
IDCJAC0001,042027,1942,05,14.2,Y
IDCJAC0001,042027,1942,06,13.8,Y
IDCJAC0001,042027,1942,07,39.6,Y
IDCJAC0001,042027,1942,08,6.6,Y
IDCJAC0001,042027,1942,09,5.1,Y
IDCJAC0001,042027,1942,10,80.1,Y
IDCJAC0001,042027,1942,11,46.0,Y
IDCJAC0001,042027,1942,12,159.5,Y
IDCJAC0001,042027,1943,01,31.5,Y
IDCJAC0001,042027,1943,02,20.6,Y
IDCJAC0001,042027,1943,03,0.0,Y
IDCJAC0001,042027,1943,04,33.0,Y
IDCJAC0001,042027,1943,05,29.2,Y
IDCJAC0001,042027,1943,06,21.6,Y
IDCJAC0001,042027,1943,07,20.3,Y
IDCJAC0001,042027,1943,08,44.5,Y
IDCJAC0001,042027,1943,09,23.9,Y
IDCJAC0001,042027,1943,10,33.0,Y
IDCJAC0001,042027,1943,11,92.1,Y
IDCJAC0001,042027,1943,12,60.1,Y
IDCJAC0001,042027,1944,01,61.5,Y
IDCJAC0001,042027,1944,02,14.8,Y
IDCJAC0001,042027,1944,03,0.0,Y
IDCJAC0001,042027,1944,04,0.0,Y
IDCJAC0001,042027,1944,05,21.3,Y
IDCJAC0001,042027,1944,06,18.2,Y
IDCJAC0001,042027,1944,07,56.6,Y
IDCJAC0001,042027,1944,08,47.8,Y
IDCJAC0001,042027,1944,09,29.2,Y
IDCJAC0001,042027,1944,10,9.7,Y
IDCJAC0001,042027,1944,11,55.5,Y
IDCJAC0001,042027,1944,12,31.0,Y
IDCJAC0001,042027,1945,01,97.6,Y
IDCJAC0001,042027,1945,02,241.3,Y
IDCJAC0001,042027,1945,03,7.4,Y
IDCJAC0001,042027,1945,04,21.3,Y
IDCJAC0001,042027,1945,05,32.8,Y
IDCJAC0001,042027,1945,06,56.7,Y
IDCJAC0001,042027,1945,07,39.9,Y
IDCJAC0001,042027,1945,08,34.8,Y
IDCJAC0001,042027,1945,09,0.0,Y
IDCJAC0001,042027,1945,10,4.6,Y
IDCJAC0001,042027,1945,11,12.4,Y
IDCJAC0001,042027,1945,12,35.5,Y
IDCJAC0001,042027,1946,01,62.7,Y
IDCJAC0001,042027,1946,02,54.6,Y
IDCJAC0001,042027,1946,03,18.8,Y
IDCJAC0001,042027,1946,04,20.4,Y
IDCJAC0001,042027,1946,05,2.5,Y
IDCJAC0001,042027,1946,06,2.8,Y
