"Statistic","Year","Sector","Fuel Type","UNIT","VALUE"
"Fuel Consumption (ktoe)","1994","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Sum of all petroleum products","ktoe","259"
"Fuel Consumption (ktoe)","1994","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Gasoil/diesel/DERV","ktoe","259"
"Fuel Consumption (ktoe)","1994","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Electricity","ktoe","42"
"Fuel Consumption (ktoe)","1994","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1994","Agricultural","Sum of all fuel products","ktoe","301"
"Fuel Consumption (ktoe)","1994","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Sum of all petroleum products","ktoe","297"
"Fuel Consumption (ktoe)","1995","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Gasoil/diesel/DERV","ktoe","297"
"Fuel Consumption (ktoe)","1995","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Non renewable waste","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Electricity","ktoe","43"
"Fuel Consumption (ktoe)","1995","Agricultural","Heat","ktoe","0"
"Fuel Consumption (ktoe)","1995","Agricultural","Sum of all fuel products","ktoe","340"
"Fuel Consumption (ktoe)","1995","Agricultural","Geothermal","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Sum of all petroleum products","ktoe","239"
"Fuel Consumption (ktoe)","1996","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1996","Agricultural","Refinery gas","ktoe","0"
