"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","1977M08","Pollard","Euro per Tonne","140"
"Feed Stuff Price","1977M08","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1977M08","Barley meal","Euro per Tonne","153"
"Feed Stuff Price","1977M08","Maize meal","Euro per Tonne","162"
"Feed Stuff Price","1977M08","Flaked maize","Euro per Tonne","188"
"Feed Stuff Price","1977M08","Pig creep (18-24% protein)","Euro per Tonne","212"
"Feed Stuff Price","1977M08","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Pig fattening meal (13-15% protein)","Euro per Tonne","174"
"Feed Stuff Price","1977M08","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","182"
"Feed Stuff Price","1977M08","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Calf meal (16-18% protein)","Euro per Tonne","182"
"Feed Stuff Price","1977M08","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Dairy meal (16-18% protein)","Euro per Tonne","171"
"Feed Stuff Price","1977M08","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Chick mash (18-20% protein)","Euro per Tonne","213"
"Feed Stuff Price","1977M08","Layers' mash (14-16% protein)","Euro per Tonne","184"
"Feed Stuff Price","1977M08","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1977M08","Wheat","Euro per Tonne",""
"Feed Stuff Price","1977M08","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M08","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1977M09","Bran","Euro per Tonne","150"
"Feed Stuff Price","1977M09","Pollard","Euro per Tonne","138"
"Feed Stuff Price","1977M09","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1977M09","Barley meal","Euro per Tonne","150"
"Feed Stuff Price","1977M09","Maize meal","Euro per Tonne","165"
"Feed Stuff Price","1977M09","Flaked maize","Euro per Tonne","191"
"Feed Stuff Price","1977M09","Pig creep (18-24% protein)","Euro per Tonne","210"
"Feed Stuff Price","1977M09","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Pig fattening meal (13-15% protein)","Euro per Tonne","171"
"Feed Stuff Price","1977M09","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","178"
"Feed Stuff Price","1977M09","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Calf meal (16-18% protein)","Euro per Tonne","177"
"Feed Stuff Price","1977M09","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Dairy meal (16-18% protein)","Euro per Tonne","166"
"Feed Stuff Price","1977M09","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Chick mash (18-20% protein)","Euro per Tonne","206"
"Feed Stuff Price","1977M09","Layers' mash (14-16% protein)","Euro per Tonne","180"
"Feed Stuff Price","1977M09","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1977M09","Wheat","Euro per Tonne",""
"Feed Stuff Price","1977M09","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M09","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1977M10","Bran","Euro per Tonne","149"
"Feed Stuff Price","1977M10","Pollard","Euro per Tonne","136"
"Feed Stuff Price","1977M10","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1977M10","Barley meal","Euro per Tonne","148"
"Feed Stuff Price","1977M10","Maize meal","Euro per Tonne","166"
"Feed Stuff Price","1977M10","Flaked maize","Euro per Tonne","191"
"Feed Stuff Price","1977M10","Pig creep (18-24% protein)","Euro per Tonne","208"
"Feed Stuff Price","1977M10","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Pig fattening meal (13-15% protein)","Euro per Tonne","169"
"Feed Stuff Price","1977M10","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","176"
"Feed Stuff Price","1977M10","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Calf meal (16-18% protein)","Euro per Tonne","175"
"Feed Stuff Price","1977M10","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Dairy meal (16-18% protein)","Euro per Tonne","166"
"Feed Stuff Price","1977M10","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Chick mash (18-20% protein)","Euro per Tonne","207"
"Feed Stuff Price","1977M10","Layers' mash (14-16% protein)","Euro per Tonne","179"
"Feed Stuff Price","1977M10","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1977M10","Wheat","Euro per Tonne",""
"Feed Stuff Price","1977M10","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M10","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1977M11","Bran","Euro per Tonne","149"
"Feed Stuff Price","1977M11","Pollard","Euro per Tonne","134"
"Feed Stuff Price","1977M11","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1977M11","Barley meal","Euro per Tonne","147"
"Feed Stuff Price","1977M11","Maize meal","Euro per Tonne","168"
"Feed Stuff Price","1977M11","Flaked maize","Euro per Tonne","192"
"Feed Stuff Price","1977M11","Pig creep (18-24% protein)","Euro per Tonne","208"
"Feed Stuff Price","1977M11","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Pig fattening meal (13-15% protein)","Euro per Tonne","168"
"Feed Stuff Price","1977M11","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","175"
"Feed Stuff Price","1977M11","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Calf meal (16-18% protein)","Euro per Tonne","175"
"Feed Stuff Price","1977M11","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Dairy meal (16-18% protein)","Euro per Tonne","164"
"Feed Stuff Price","1977M11","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Chick mash (18-20% protein)","Euro per Tonne","206"
"Feed Stuff Price","1977M11","Layers' mash (14-16% protein)","Euro per Tonne","178"
"Feed Stuff Price","1977M11","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1977M11","Wheat","Euro per Tonne",""
"Feed Stuff Price","1977M11","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M11","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1977M12","Bran","Euro per Tonne","151"
"Feed Stuff Price","1977M12","Pollard","Euro per Tonne","136"
"Feed Stuff Price","1977M12","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1977M12","Barley meal","Euro per Tonne","148"
"Feed Stuff Price","1977M12","Maize meal","Euro per Tonne","169"
"Feed Stuff Price","1977M12","Flaked maize","Euro per Tonne","191"
"Feed Stuff Price","1977M12","Pig creep (18-24% protein)","Euro per Tonne","207"
"Feed Stuff Price","1977M12","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Pig fattening meal (13-15% protein)","Euro per Tonne","168"
"Feed Stuff Price","1977M12","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","174"
"Feed Stuff Price","1977M12","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Calf meal (16-18% protein)","Euro per Tonne","174"
"Feed Stuff Price","1977M12","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Dairy meal (16-18% protein)","Euro per Tonne","164"
"Feed Stuff Price","1977M12","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Chick mash (18-20% protein)","Euro per Tonne","207"
"Feed Stuff Price","1977M12","Layers' mash (14-16% protein)","Euro per Tonne","178"
"Feed Stuff Price","1977M12","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1977M12","Wheat","Euro per Tonne",""
"Feed Stuff Price","1977M12","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1977M12","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1978M01","Bran","Euro per Tonne","151"
"Feed Stuff Price","1978M01","Pollard","Euro per Tonne","136"
"Feed Stuff Price","1978M01","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1978M01","Barley meal","Euro per Tonne","145"
"Feed Stuff Price","1978M01","Maize meal","Euro per Tonne","168"
"Feed Stuff Price","1978M01","Flaked maize","Euro per Tonne","194"
"Feed Stuff Price","1978M01","Pig creep (18-24% protein)","Euro per Tonne","208"
"Feed Stuff Price","1978M01","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Pig fattening meal (13-15% protein)","Euro per Tonne","167"
"Feed Stuff Price","1978M01","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","174"
"Feed Stuff Price","1978M01","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Calf meal (16-18% protein)","Euro per Tonne","172"
"Feed Stuff Price","1978M01","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Dairy meal (16-18% protein)","Euro per Tonne","162"
"Feed Stuff Price","1978M01","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Chick mash (18-20% protein)","Euro per Tonne","206"
"Feed Stuff Price","1978M01","Layers' mash (14-16% protein)","Euro per Tonne","179"
"Feed Stuff Price","1978M01","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1978M01","Wheat","Euro per Tonne",""
"Feed Stuff Price","1978M01","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M01","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1978M02","Bran","Euro per Tonne","154"
"Feed Stuff Price","1978M02","Pollard","Euro per Tonne","136"
"Feed Stuff Price","1978M02","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1978M02","Barley meal","Euro per Tonne","145"
"Feed Stuff Price","1978M02","Maize meal","Euro per Tonne","171"
"Feed Stuff Price","1978M02","Flaked maize","Euro per Tonne","198"
"Feed Stuff Price","1978M02","Pig creep (18-24% protein)","Euro per Tonne","206"
"Feed Stuff Price","1978M02","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Pig fattening meal (13-15% protein)","Euro per Tonne","167"
"Feed Stuff Price","1978M02","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","173"
"Feed Stuff Price","1978M02","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Calf meal (16-18% protein)","Euro per Tonne","171"
"Feed Stuff Price","1978M02","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Dairy meal (16-18% protein)","Euro per Tonne","161"
"Feed Stuff Price","1978M02","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Chick mash (18-20% protein)","Euro per Tonne","207"
"Feed Stuff Price","1978M02","Layers' mash (14-16% protein)","Euro per Tonne","180"
"Feed Stuff Price","1978M02","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1978M02","Wheat","Euro per Tonne",""
"Feed Stuff Price","1978M02","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M02","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1978M03","Bran","Euro per Tonne","155"
"Feed Stuff Price","1978M03","Pollard","Euro per Tonne","136"
"Feed Stuff Price","1978M03","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1978M03","Barley meal","Euro per Tonne","145"
"Feed Stuff Price","1978M03","Maize meal","Euro per Tonne","171"
"Feed Stuff Price","1978M03","Flaked maize","Euro per Tonne","199"
"Feed Stuff Price","1978M03","Pig creep (18-24% protein)","Euro per Tonne","205"
"Feed Stuff Price","1978M03","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Pig fattening meal (13-15% protein)","Euro per Tonne","166"
"Feed Stuff Price","1978M03","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","172"
"Feed Stuff Price","1978M03","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Calf meal (16-18% protein)","Euro per Tonne","172"
"Feed Stuff Price","1978M03","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Dairy meal (16-18% protein)","Euro per Tonne","161"
"Feed Stuff Price","1978M03","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Chick mash (18-20% protein)","Euro per Tonne","205"
"Feed Stuff Price","1978M03","Layers' mash (14-16% protein)","Euro per Tonne","180"
"Feed Stuff Price","1978M03","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1978M03","Wheat","Euro per Tonne",""
"Feed Stuff Price","1978M03","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M03","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1978M04","Bran","Euro per Tonne","156"
"Feed Stuff Price","1978M04","Pollard","Euro per Tonne","137"
"Feed Stuff Price","1978M04","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1978M04","Barley meal","Euro per Tonne","149"
"Feed Stuff Price","1978M04","Maize meal","Euro per Tonne","175"
"Feed Stuff Price","1978M04","Flaked maize","Euro per Tonne","200"
"Feed Stuff Price","1978M04","Pig creep (18-24% protein)","Euro per Tonne","207"
"Feed Stuff Price","1978M04","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Pig fattening meal (13-15% protein)","Euro per Tonne","167"
"Feed Stuff Price","1978M04","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","173"
"Feed Stuff Price","1978M04","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Calf meal (16-18% protein)","Euro per Tonne","172"
"Feed Stuff Price","1978M04","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Dairy meal (16-18% protein)","Euro per Tonne","162"
"Feed Stuff Price","1978M04","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Chick mash (18-20% protein)","Euro per Tonne","207"
"Feed Stuff Price","1978M04","Layers' mash (14-16% protein)","Euro per Tonne","180"
"Feed Stuff Price","1978M04","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1978M04","Wheat","Euro per Tonne",""
"Feed Stuff Price","1978M04","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M04","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1978M05","Bran","Euro per Tonne","157"
"Feed Stuff Price","1978M05","Pollard","Euro per Tonne","138"
"Feed Stuff Price","1978M05","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1978M05","Barley meal","Euro per Tonne","153"
"Feed Stuff Price","1978M05","Maize meal","Euro per Tonne","181"
"Feed Stuff Price","1978M05","Flaked maize","Euro per Tonne","205"
"Feed Stuff Price","1978M05","Pig creep (18-24% protein)","Euro per Tonne","212"
"Feed Stuff Price","1978M05","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Pig fattening meal (13-15% protein)","Euro per Tonne","172"
"Feed Stuff Price","1978M05","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","179"
"Feed Stuff Price","1978M05","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Calf meal (16-18% protein)","Euro per Tonne","176"
"Feed Stuff Price","1978M05","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Dairy meal (16-18% protein)","Euro per Tonne","164"
"Feed Stuff Price","1978M05","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Chick mash (18-20% protein)","Euro per Tonne","210"
"Feed Stuff Price","1978M05","Layers' mash (14-16% protein)","Euro per Tonne","184"
"Feed Stuff Price","1978M05","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1978M05","Wheat","Euro per Tonne",""
"Feed Stuff Price","1978M05","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M05","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1978M06","Bran","Euro per Tonne","157"
"Feed Stuff Price","1978M06","Pollard","Euro per Tonne","138"
"Feed Stuff Price","1978M06","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1978M06","Barley meal","Euro per Tonne","154"
"Feed Stuff Price","1978M06","Maize meal","Euro per Tonne","181"
"Feed Stuff Price","1978M06","Flaked maize","Euro per Tonne","207"
"Feed Stuff Price","1978M06","Pig creep (18-24% protein)","Euro per Tonne","212"
"Feed Stuff Price","1978M06","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Pig fattening meal (13-15% protein)","Euro per Tonne","172"
"Feed Stuff Price","1978M06","Sow breeder (14-16% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","179"
"Feed Stuff Price","1978M06","Calf nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Calf meal (16-18% protein)","Euro per Tonne","177"
"Feed Stuff Price","1978M06","Calf nuts and cubes (14-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Dairy nuts and cubes (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Dairy meal (16-18% protein)","Euro per Tonne","166"
"Feed Stuff Price","1978M06","Dairy nuts and cubes (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Dairy meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Chick mash (18-20% protein)","Euro per Tonne","210"
"Feed Stuff Price","1978M06","Layers' mash (14-16% protein)","Euro per Tonne","184"
"Feed Stuff Price","1978M06","Broiler starter (22-24% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Broiler finisher (19-21% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Milk replacer","Euro per Tonne",""
"Feed Stuff Price","1978M06","Wheat","Euro per Tonne",""
"Feed Stuff Price","1978M06","Ewe feed coarse (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Ewe pellets/nuts (16-20%)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Lamb feed (16-20% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M06","Cattle fattening meal (13-15% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M07","Rolled barley","Euro per Tonne",""
"Feed Stuff Price","1978M07","Bran","Euro per Tonne","158"
"Feed Stuff Price","1978M07","Pollard","Euro per Tonne","138"
"Feed Stuff Price","1978M07","Soya bean meal","Euro per Tonne",""
"Feed Stuff Price","1978M07","Barley meal","Euro per Tonne","156"
"Feed Stuff Price","1978M07","Maize meal","Euro per Tonne","181"
"Feed Stuff Price","1978M07","Flaked maize","Euro per Tonne","208"
"Feed Stuff Price","1978M07","Pig creep (18-24% protein)","Euro per Tonne","214"
"Feed Stuff Price","1978M07","Pig grower (16-18% protein)","Euro per Tonne",""
"Feed Stuff Price","1978M07","Pig fattening meal (13-15% protein)","Euro per Tonne","172"
"Feed Stuff Price","1978M07","Sow breeder (14-16% protein)","Euro per Tonne",""
