"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2014M06","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M06","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","290"
"Feed Stuff Price","2014M06","Dairy meal (16-18% protein)","Euro per Tonne","278"
"Feed Stuff Price","2014M06","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M06","Milk replacer","Euro per Tonne","2258"
"Feed Stuff Price","2014M06","Wheat","Euro per Tonne","212"
"Feed Stuff Price","2014M06","Ewe feed coarse (16-20% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M06","Ewe pellets/nuts (16-20%)","Euro per Tonne","296"
"Feed Stuff Price","2014M06","Lamb feed (16-20% protein)","Euro per Tonne","309"
"Feed Stuff Price","2014M06","Cattle fattening meal (13-15% protein)","Euro per Tonne","275"
"Feed Stuff Price","2014M07","Rolled barley","Euro per Tonne","221"
"Feed Stuff Price","2014M07","Soya bean meal","Euro per Tonne","463"
"Feed Stuff Price","2014M07","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2014M07","Maize meal","Euro per Tonne","234"
"Feed Stuff Price","2014M07","Flaked maize","Euro per Tonne","293"
"Feed Stuff Price","2014M07","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Pig fattening meal (13-15% protein)","Euro per Tonne","308"
"Feed Stuff Price","2014M07","Sow breeder (14-16% protein)","Euro per Tonne","311"
"Feed Stuff Price","2014M07","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Calf nuts and cubes (16-18% protein)","Euro per Tonne","311"
"Feed Stuff Price","2014M07","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","290"
"Feed Stuff Price","2014M07","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M07","Dairy meal (16-18% protein)","Euro per Tonne","279"
"Feed Stuff Price","2014M07","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M07","Milk replacer","Euro per Tonne","2302"
"Feed Stuff Price","2014M07","Wheat","Euro per Tonne","215"
"Feed Stuff Price","2014M07","Ewe feed coarse (16-20% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M07","Ewe pellets/nuts (16-20%)","Euro per Tonne","298"
"Feed Stuff Price","2014M07","Lamb feed (16-20% protein)","Euro per Tonne","309"
"Feed Stuff Price","2014M07","Cattle fattening meal (13-15% protein)","Euro per Tonne","275"
"Feed Stuff Price","2014M08","Rolled barley","Euro per Tonne","215"
"Feed Stuff Price","2014M08","Soya bean meal","Euro per Tonne","454"
"Feed Stuff Price","2014M08","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2014M08","Maize meal","Euro per Tonne","228"
"Feed Stuff Price","2014M08","Flaked maize","Euro per Tonne","293"
"Feed Stuff Price","2014M08","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Pig fattening meal (13-15% protein)","Euro per Tonne","307"
"Feed Stuff Price","2014M08","Sow breeder (14-16% protein)","Euro per Tonne","310"
"Feed Stuff Price","2014M08","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Calf nuts and cubes (16-18% protein)","Euro per Tonne","311"
"Feed Stuff Price","2014M08","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","287"
"Feed Stuff Price","2014M08","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","287"
"Feed Stuff Price","2014M08","Dairy meal (16-18% protein)","Euro per Tonne","278"
"Feed Stuff Price","2014M08","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Layers' mash (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M08","Milk replacer","Euro per Tonne","2281"
"Feed Stuff Price","2014M08","Wheat","Euro per Tonne","206"
"Feed Stuff Price","2014M08","Ewe feed coarse (16-20% protein)","Euro per Tonne","287"
"Feed Stuff Price","2014M08","Ewe pellets/nuts (16-20%)","Euro per Tonne","297"
"Feed Stuff Price","2014M08","Lamb feed (16-20% protein)","Euro per Tonne","305"
"Feed Stuff Price","2014M08","Cattle fattening meal (13-15% protein)","Euro per Tonne","276"
"Feed Stuff Price","2014M09","Rolled barley","Euro per Tonne","208"
"Feed Stuff Price","2014M09","Soya bean meal","Euro per Tonne","432"
"Feed Stuff Price","2014M09","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2014M09","Maize meal","Euro per Tonne","229"
"Feed Stuff Price","2014M09","Flaked maize","Euro per Tonne","285"
"Feed Stuff Price","2014M09","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Pig fattening meal (13-15% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M09","Sow breeder (14-16% protein)","Euro per Tonne","288"
"Feed Stuff Price","2014M09","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Calf nuts and cubes (16-18% protein)","Euro per Tonne","297"
"Feed Stuff Price","2014M09","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","273"
"Feed Stuff Price","2014M09","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","273"
"Feed Stuff Price","2014M09","Dairy meal (16-18% protein)","Euro per Tonne","257"
"Feed Stuff Price","2014M09","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M09","Layers' mash (14-16% protein)","Euro per Tonne","."
