"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2018M03","Lamb feed (16-20% protein)","Euro per Tonne","291"
"Feed Stuff Price","2018M03","Cattle fattening meal (13-15% protein)","Euro per Tonne","262"
"Feed Stuff Price","2018M04","Rolled barley","Euro per Tonne","218"
"Feed Stuff Price","2018M04","Soya bean meal","Euro per Tonne","406"
"Feed Stuff Price","2018M04","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M04","Maize meal","Euro per Tonne","225"
"Feed Stuff Price","2018M04","Flaked maize","Euro per Tonne","382"
"Feed Stuff Price","2018M04","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M04","Pig fattening meal (13-15% protein)","Euro per Tonne","300"
"Feed Stuff Price","2018M04","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M04","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","361"
"Feed Stuff Price","2018M04","Calf nuts and cubes (16-18% protein)","Euro per Tonne","302"
"Feed Stuff Price","2018M04","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M04","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M04","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","268"
"Feed Stuff Price","2018M04","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","276"
"Feed Stuff Price","2018M04","Dairy meal (16-18% protein)","Euro per Tonne","261"
"Feed Stuff Price","2018M04","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M04","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M04","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M04","Layers' mash (14-16% protein)","Euro per Tonne","359"
"Feed Stuff Price","2018M04","Broiler starter (22-24% protein)","Euro per Tonne","421"
"Feed Stuff Price","2018M04","Broiler finisher (19-21% protein)","Euro per Tonne","412"
"Feed Stuff Price","2018M04","Milk replacer","Euro per Tonne","2098"
"Feed Stuff Price","2018M04","Wheat","Euro per Tonne","207"
"Feed Stuff Price","2018M04","Ewe feed coarse (16-20% protein)","Euro per Tonne","281"
"Feed Stuff Price","2018M04","Ewe pellets/nuts (16-20%)","Euro per Tonne","285"
"Feed Stuff Price","2018M04","Lamb feed (16-20% protein)","Euro per Tonne","293"
"Feed Stuff Price","2018M04","Cattle fattening meal (13-15% protein)","Euro per Tonne","265"
"Feed Stuff Price","2018M05","Rolled barley","Euro per Tonne","229"
"Feed Stuff Price","2018M05","Soya bean meal","Euro per Tonne","433"
"Feed Stuff Price","2018M05","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M05","Maize meal","Euro per Tonne","227"
"Feed Stuff Price","2018M05","Flaked maize","Euro per Tonne","382"
"Feed Stuff Price","2018M05","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M05","Pig fattening meal (13-15% protein)","Euro per Tonne","300"
"Feed Stuff Price","2018M05","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M05","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","361"
"Feed Stuff Price","2018M05","Calf nuts and cubes (16-18% protein)","Euro per Tonne","311"
"Feed Stuff Price","2018M05","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M05","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M05","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","276"
"Feed Stuff Price","2018M05","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","287"
"Feed Stuff Price","2018M05","Dairy meal (16-18% protein)","Euro per Tonne","267"
"Feed Stuff Price","2018M05","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M05","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M05","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M05","Layers' mash (14-16% protein)","Euro per Tonne","365"
"Feed Stuff Price","2018M05","Broiler starter (22-24% protein)","Euro per Tonne","424"
"Feed Stuff Price","2018M05","Broiler finisher (19-21% protein)","Euro per Tonne","412"
"Feed Stuff Price","2018M05","Milk replacer","Euro per Tonne","2070"
"Feed Stuff Price","2018M05","Wheat","Euro per Tonne","199"
"Feed Stuff Price","2018M05","Ewe feed coarse (16-20% protein)","Euro per Tonne","285"
"Feed Stuff Price","2018M05","Ewe pellets/nuts (16-20%)","Euro per Tonne","291"
"Feed Stuff Price","2018M05","Lamb feed (16-20% protein)","Euro per Tonne","296"
"Feed Stuff Price","2018M05","Cattle fattening meal (13-15% protein)","Euro per Tonne","271"
"Feed Stuff Price","2018M06","Rolled barley","Euro per Tonne","233"
"Feed Stuff Price","2018M06","Soya bean meal","Euro per Tonne","431"
"Feed Stuff Price","2018M06","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M06","Maize meal","Euro per Tonne","232"
"Feed Stuff Price","2018M06","Flaked maize","Euro per Tonne","382"
"Feed Stuff Price","2018M06","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M06","Pig fattening meal (13-15% protein)","Euro per Tonne","300"
"Feed Stuff Price","2018M06","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M06","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","361"
"Feed Stuff Price","2018M06","Calf nuts and cubes (16-18% protein)","Euro per Tonne","312"
"Feed Stuff Price","2018M06","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M06","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M06","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","278"
"Feed Stuff Price","2018M06","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","289"
"Feed Stuff Price","2018M06","Dairy meal (16-18% protein)","Euro per Tonne","270"
"Feed Stuff Price","2018M06","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M06","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M06","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M06","Layers' mash (14-16% protein)","Euro per Tonne","365"
"Feed Stuff Price","2018M06","Broiler starter (22-24% protein)","Euro per Tonne","424"
"Feed Stuff Price","2018M06","Broiler finisher (19-21% protein)","Euro per Tonne","412"
"Feed Stuff Price","2018M06","Milk replacer","Euro per Tonne","2081"
"Feed Stuff Price","2018M06","Wheat","Euro per Tonne","203"
"Feed Stuff Price","2018M06","Ewe feed coarse (16-20% protein)","Euro per Tonne","288"
"Feed Stuff Price","2018M06","Ewe pellets/nuts (16-20%)","Euro per Tonne","294"
"Feed Stuff Price","2018M06","Lamb feed (16-20% protein)","Euro per Tonne","295"
"Feed Stuff Price","2018M06","Cattle fattening meal (13-15% protein)","Euro per Tonne","271"
"Feed Stuff Price","2018M07","Rolled barley","Euro per Tonne","237"
"Feed Stuff Price","2018M07","Soya bean meal","Euro per Tonne","425"
"Feed Stuff Price","2018M07","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M07","Maize meal","Euro per Tonne","232"
"Feed Stuff Price","2018M07","Flaked maize","Euro per Tonne","383"
"Feed Stuff Price","2018M07","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M07","Pig fattening meal (13-15% protein)","Euro per Tonne","310"
"Feed Stuff Price","2018M07","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M07","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","366"
"Feed Stuff Price","2018M07","Calf nuts and cubes (16-18% protein)","Euro per Tonne","314"
"Feed Stuff Price","2018M07","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M07","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M07","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","280"
"Feed Stuff Price","2018M07","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","287"
"Feed Stuff Price","2018M07","Dairy meal (16-18% protein)","Euro per Tonne","271"
"Feed Stuff Price","2018M07","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M07","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M07","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M07","Layers' mash (14-16% protein)","Euro per Tonne","368"
"Feed Stuff Price","2018M07","Broiler starter (22-24% protein)","Euro per Tonne","426"
"Feed Stuff Price","2018M07","Broiler finisher (19-21% protein)","Euro per Tonne","410"
"Feed Stuff Price","2018M07","Milk replacer","Euro per Tonne","2077"
"Feed Stuff Price","2018M07","Wheat","Euro per Tonne","210"
"Feed Stuff Price","2018M07","Ewe feed coarse (16-20% protein)","Euro per Tonne","291"
"Feed Stuff Price","2018M07","Ewe pellets/nuts (16-20%)","Euro per Tonne","296"
"Feed Stuff Price","2018M07","Lamb feed (16-20% protein)","Euro per Tonne","299"
"Feed Stuff Price","2018M07","Cattle fattening meal (13-15% protein)","Euro per Tonne","274"
"Feed Stuff Price","2018M08","Rolled barley","Euro per Tonne","250"
"Feed Stuff Price","2018M08","Soya bean meal","Euro per Tonne","424"
"Feed Stuff Price","2018M08","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M08","Maize meal","Euro per Tonne","239"
"Feed Stuff Price","2018M08","Flaked maize","Euro per Tonne","386"
"Feed Stuff Price","2018M08","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M08","Pig fattening meal (13-15% protein)","Euro per Tonne","312"
"Feed Stuff Price","2018M08","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M08","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","368"
"Feed Stuff Price","2018M08","Calf nuts and cubes (16-18% protein)","Euro per Tonne","323"
"Feed Stuff Price","2018M08","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M08","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M08","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","285"
"Feed Stuff Price","2018M08","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","296"
"Feed Stuff Price","2018M08","Dairy meal (16-18% protein)","Euro per Tonne","277"
"Feed Stuff Price","2018M08","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M08","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M08","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M08","Layers' mash (14-16% protein)","Euro per Tonne","370"
"Feed Stuff Price","2018M08","Broiler starter (22-24% protein)","Euro per Tonne","426"
"Feed Stuff Price","2018M08","Broiler finisher (19-21% protein)","Euro per Tonne","410"
"Feed Stuff Price","2018M08","Milk replacer","Euro per Tonne","2090"
"Feed Stuff Price","2018M08","Wheat","Euro per Tonne","237"
"Feed Stuff Price","2018M08","Ewe feed coarse (16-20% protein)","Euro per Tonne","299"
"Feed Stuff Price","2018M08","Ewe pellets/nuts (16-20%)","Euro per Tonne","303"
"Feed Stuff Price","2018M08","Lamb feed (16-20% protein)","Euro per Tonne","306"
"Feed Stuff Price","2018M08","Cattle fattening meal (13-15% protein)","Euro per Tonne","281"
"Feed Stuff Price","2018M09","Rolled barley","Euro per Tonne","254"
"Feed Stuff Price","2018M09","Soya bean meal","Euro per Tonne","415"
"Feed Stuff Price","2018M09","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M09","Maize meal","Euro per Tonne","239"
"Feed Stuff Price","2018M09","Flaked maize","Euro per Tonne","386"
"Feed Stuff Price","2018M09","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M09","Pig fattening meal (13-15% protein)","Euro per Tonne","323"
"Feed Stuff Price","2018M09","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M09","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","376"
"Feed Stuff Price","2018M09","Calf nuts and cubes (16-18% protein)","Euro per Tonne","328"
"Feed Stuff Price","2018M09","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M09","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M09","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","291"
"Feed Stuff Price","2018M09","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","300"
"Feed Stuff Price","2018M09","Dairy meal (16-18% protein)","Euro per Tonne","283"
"Feed Stuff Price","2018M09","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M09","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M09","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M09","Layers' mash (14-16% protein)","Euro per Tonne","372"
"Feed Stuff Price","2018M09","Broiler starter (22-24% protein)","Euro per Tonne","424"
"Feed Stuff Price","2018M09","Broiler finisher (19-21% protein)","Euro per Tonne","408"
"Feed Stuff Price","2018M09","Milk replacer","Euro per Tonne","2090"
"Feed Stuff Price","2018M09","Wheat","Euro per Tonne","242"
"Feed Stuff Price","2018M09","Ewe feed coarse (16-20% protein)","Euro per Tonne","302"
"Feed Stuff Price","2018M09","Ewe pellets/nuts (16-20%)","Euro per Tonne","307"
"Feed Stuff Price","2018M09","Lamb feed (16-20% protein)","Euro per Tonne","311"
"Feed Stuff Price","2018M09","Cattle fattening meal (13-15% protein)","Euro per Tonne","285"
"Feed Stuff Price","2018M10","Rolled barley","Euro per Tonne","258"
"Feed Stuff Price","2018M10","Soya bean meal","Euro per Tonne","410"
"Feed Stuff Price","2018M10","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M10","Maize meal","Euro per Tonne","238"
"Feed Stuff Price","2018M10","Flaked maize","Euro per Tonne","388"
"Feed Stuff Price","2018M10","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M10","Pig fattening meal (13-15% protein)","Euro per Tonne","333"
"Feed Stuff Price","2018M10","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M10","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","381"
"Feed Stuff Price","2018M10","Calf nuts and cubes (16-18% protein)","Euro per Tonne","330"
"Feed Stuff Price","2018M10","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M10","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M10","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","292"
"Feed Stuff Price","2018M10","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","303"
"Feed Stuff Price","2018M10","Dairy meal (16-18% protein)","Euro per Tonne","284"
"Feed Stuff Price","2018M10","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M10","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M10","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M10","Layers' mash (14-16% protein)","Euro per Tonne","376"
"Feed Stuff Price","2018M10","Broiler starter (22-24% protein)","Euro per Tonne","425"
"Feed Stuff Price","2018M10","Broiler finisher (19-21% protein)","Euro per Tonne","416"
"Feed Stuff Price","2018M10","Milk replacer","Euro per Tonne","2090"
"Feed Stuff Price","2018M10","Wheat","Euro per Tonne","248"
"Feed Stuff Price","2018M10","Ewe feed coarse (16-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","2018M10","Ewe pellets/nuts (16-20%)","Euro per Tonne","310"
"Feed Stuff Price","2018M10","Lamb feed (16-20% protein)","Euro per Tonne","312"
"Feed Stuff Price","2018M10","Cattle fattening meal (13-15% protein)","Euro per Tonne","287"
"Feed Stuff Price","2018M11","Rolled barley","Euro per Tonne","263"
"Feed Stuff Price","2018M11","Soya bean meal","Euro per Tonne","404"
"Feed Stuff Price","2018M11","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M11","Maize meal","Euro per Tonne","237"
"Feed Stuff Price","2018M11","Flaked maize","Euro per Tonne","388"
"Feed Stuff Price","2018M11","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M11","Pig fattening meal (13-15% protein)","Euro per Tonne","335"
"Feed Stuff Price","2018M11","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M11","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","381"
"Feed Stuff Price","2018M11","Calf nuts and cubes (16-18% protein)","Euro per Tonne","331"
"Feed Stuff Price","2018M11","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M11","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M11","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","293"
"Feed Stuff Price","2018M11","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","304"
"Feed Stuff Price","2018M11","Dairy meal (16-18% protein)","Euro per Tonne","284"
"Feed Stuff Price","2018M11","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M11","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M11","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M11","Layers' mash (14-16% protein)","Euro per Tonne","377"
"Feed Stuff Price","2018M11","Broiler starter (22-24% protein)","Euro per Tonne","431"
"Feed Stuff Price","2018M11","Broiler finisher (19-21% protein)","Euro per Tonne","422"
"Feed Stuff Price","2018M11","Milk replacer","Euro per Tonne","2099"
"Feed Stuff Price","2018M11","Wheat","Euro per Tonne","246"
"Feed Stuff Price","2018M11","Ewe feed coarse (16-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","2018M11","Ewe pellets/nuts (16-20%)","Euro per Tonne","311"
"Feed Stuff Price","2018M11","Lamb feed (16-20% protein)","Euro per Tonne","313"
"Feed Stuff Price","2018M11","Cattle fattening meal (13-15% protein)","Euro per Tonne","288"
"Feed Stuff Price","2018M12","Rolled barley","Euro per Tonne","264"
"Feed Stuff Price","2018M12","Soya bean meal","Euro per Tonne","405"
"Feed Stuff Price","2018M12","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2018M12","Maize meal","Euro per Tonne","239"
"Feed Stuff Price","2018M12","Flaked maize","Euro per Tonne","388"
"Feed Stuff Price","2018M12","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M12","Pig fattening meal (13-15% protein)","Euro per Tonne","340"
"Feed Stuff Price","2018M12","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M12","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","381"
"Feed Stuff Price","2018M12","Calf nuts and cubes (16-18% protein)","Euro per Tonne","331"
"Feed Stuff Price","2018M12","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M12","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M12","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","293"
"Feed Stuff Price","2018M12","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","304"
"Feed Stuff Price","2018M12","Dairy meal (16-18% protein)","Euro per Tonne","284"
"Feed Stuff Price","2018M12","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M12","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M12","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2018M12","Layers' mash (14-16% protein)","Euro per Tonne","377"
"Feed Stuff Price","2018M12","Broiler starter (22-24% protein)","Euro per Tonne","431"
"Feed Stuff Price","2018M12","Broiler finisher (19-21% protein)","Euro per Tonne","422"
"Feed Stuff Price","2018M12","Milk replacer","Euro per Tonne","2099"
"Feed Stuff Price","2018M12","Wheat","Euro per Tonne","250"
"Feed Stuff Price","2018M12","Ewe feed coarse (16-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","2018M12","Ewe pellets/nuts (16-20%)","Euro per Tonne","311"
"Feed Stuff Price","2018M12","Lamb feed (16-20% protein)","Euro per Tonne","310"
"Feed Stuff Price","2018M12","Cattle fattening meal (13-15% protein)","Euro per Tonne","288"
"Feed Stuff Price","2019M01","Rolled barley","Euro per Tonne","265"
"Feed Stuff Price","2019M01","Soya bean meal","Euro per Tonne","403"
"Feed Stuff Price","2019M01","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2019M01","Maize meal","Euro per Tonne","240"
"Feed Stuff Price","2019M01","Flaked maize","Euro per Tonne","388"
"Feed Stuff Price","2019M01","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M01","Pig fattening meal (13-15% protein)","Euro per Tonne","338"
"Feed Stuff Price","2019M01","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M01","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","388"
"Feed Stuff Price","2019M01","Calf nuts and cubes (16-18% protein)","Euro per Tonne","332"
"Feed Stuff Price","2019M01","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M01","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M01","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","294"
"Feed Stuff Price","2019M01","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","307"
"Feed Stuff Price","2019M01","Dairy meal (16-18% protein)","Euro per Tonne","284"
"Feed Stuff Price","2019M01","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M01","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M01","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M01","Layers' mash (14-16% protein)","Euro per Tonne","377"
"Feed Stuff Price","2019M01","Broiler starter (22-24% protein)","Euro per Tonne","431"
"Feed Stuff Price","2019M01","Broiler finisher (19-21% protein)","Euro per Tonne","422"
"Feed Stuff Price","2019M01","Milk replacer","Euro per Tonne","2119"
"Feed Stuff Price","2019M01","Wheat","Euro per Tonne","250"
"Feed Stuff Price","2019M01","Ewe feed coarse (16-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","2019M01","Ewe pellets/nuts (16-20%)","Euro per Tonne","311"
"Feed Stuff Price","2019M01","Lamb feed (16-20% protein)","Euro per Tonne","310"
"Feed Stuff Price","2019M01","Cattle fattening meal (13-15% protein)","Euro per Tonne","288"
"Feed Stuff Price","2019M02","Rolled barley","Euro per Tonne","264"
"Feed Stuff Price","2019M02","Soya bean meal","Euro per Tonne","400"
"Feed Stuff Price","2019M02","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2019M02","Maize meal","Euro per Tonne","240"
"Feed Stuff Price","2019M02","Flaked maize","Euro per Tonne","387"
"Feed Stuff Price","2019M02","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M02","Pig fattening meal (13-15% protein)","Euro per Tonne","340"
"Feed Stuff Price","2019M02","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M02","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","381"
"Feed Stuff Price","2019M02","Calf nuts and cubes (16-18% protein)","Euro per Tonne","332"
"Feed Stuff Price","2019M02","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M02","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M02","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","293"
"Feed Stuff Price","2019M02","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","304"
"Feed Stuff Price","2019M02","Dairy meal (16-18% protein)","Euro per Tonne","283"
"Feed Stuff Price","2019M02","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M02","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M02","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M02","Layers' mash (14-16% protein)","Euro per Tonne","369"
"Feed Stuff Price","2019M02","Broiler starter (22-24% protein)","Euro per Tonne","431"
"Feed Stuff Price","2019M02","Broiler finisher (19-21% protein)","Euro per Tonne","422"
"Feed Stuff Price","2019M02","Milk replacer","Euro per Tonne","2119"
"Feed Stuff Price","2019M02","Wheat","Euro per Tonne","248"
"Feed Stuff Price","2019M02","Ewe feed coarse (16-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","2019M02","Ewe pellets/nuts (16-20%)","Euro per Tonne","311"
"Feed Stuff Price","2019M02","Lamb feed (16-20% protein)","Euro per Tonne","310"
"Feed Stuff Price","2019M02","Cattle fattening meal (13-15% protein)","Euro per Tonne","287"
"Feed Stuff Price","2019M03","Rolled barley","Euro per Tonne","262"
"Feed Stuff Price","2019M03","Soya bean meal","Euro per Tonne","397"
"Feed Stuff Price","2019M03","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2019M03","Maize meal","Euro per Tonne","240"
"Feed Stuff Price","2019M03","Flaked maize","Euro per Tonne","387"
"Feed Stuff Price","2019M03","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M03","Pig fattening meal (13-15% protein)","Euro per Tonne","340"
"Feed Stuff Price","2019M03","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M03","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","381"
"Feed Stuff Price","2019M03","Calf nuts and cubes (16-18% protein)","Euro per Tonne","331"
"Feed Stuff Price","2019M03","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M03","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M03","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","293"
"Feed Stuff Price","2019M03","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","304"
"Feed Stuff Price","2019M03","Dairy meal (16-18% protein)","Euro per Tonne","283"
"Feed Stuff Price","2019M03","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M03","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M03","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2019M03","Layers' mash (14-16% protein)","Euro per Tonne","369"
"Feed Stuff Price","2019M03","Broiler starter (22-24% protein)","Euro per Tonne","431"
"Feed Stuff Price","2019M03","Broiler finisher (19-21% protein)","Euro per Tonne","422"
"Feed Stuff Price","2019M03","Milk replacer","Euro per Tonne","2118"
"Feed Stuff Price","2019M03","Wheat","Euro per Tonne","245"
"Feed Stuff Price","2019M03","Ewe feed coarse (16-20% protein)","Euro per Tonne","304"
"Feed Stuff Price","2019M03","Ewe pellets/nuts (16-20%)","Euro per Tonne","311"
"Feed Stuff Price","2019M03","Lamb feed (16-20% protein)","Euro per Tonne","309"
"Feed Stuff Price","2019M03","Cattle fattening meal (13-15% protein)","Euro per Tonne","287"
"Feed Stuff Price","2019M04","Rolled barley","Euro per Tonne","259"
"Feed Stuff Price","2019M04","Soya bean meal","Euro per Tonne","397"
"Feed Stuff Price","2019M04","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2019M04","Maize meal","Euro per Tonne","243"
"Feed Stuff Price","2019M04","Flaked maize","Euro per Tonne","387"
