"Statistic","Month","Type of Cattle","UNIT","VALUE"
"Cattle Price per 100 Kg","1976M08","Heifers 350-399kg","Euro","79.27"
"Cattle Price per 100 Kg","1976M08","Heifers 400-449kg","Euro","73.66"
"Cattle Price per 100 Kg","1976M08","Cows for slaughter","Euro","61.58"
"Cattle Price per 100 Kg","1976M09","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M09","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M09","Bullocks 300-349kg","Euro","80.93"
"Cattle Price per 100 Kg","1976M09","Bullocks 350-399kg","Euro","75.9"
"Cattle Price per 100 Kg","1976M09","Bullocks 400-449kg","Euro","78.72"
"Cattle Price per 100 Kg","1976M09","Bullocks 450-499kg","Euro","78.91"
"Cattle Price per 100 Kg","1976M09","Bullocks 500-549kg","Euro","82.66"
"Cattle Price per 100 Kg","1976M09","Bullocks 550kg+","Euro","85.69"
"Cattle Price per 100 Kg","1976M09","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M09","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M09","Heifers 300-349kg","Euro","80.13"
"Cattle Price per 100 Kg","1976M09","Heifers 350-399kg","Euro","74.9"
"Cattle Price per 100 Kg","1976M09","Heifers 400-449kg","Euro","73.4"
"Cattle Price per 100 Kg","1976M09","Cows for slaughter","Euro","57.87"
"Cattle Price per 100 Kg","1976M10","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M10","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M10","Bullocks 300-349kg","Euro","77.91"
"Cattle Price per 100 Kg","1976M10","Bullocks 350-399kg","Euro","82.61"
"Cattle Price per 100 Kg","1976M10","Bullocks 400-449kg","Euro","81.12"
"Cattle Price per 100 Kg","1976M10","Bullocks 450-499kg","Euro","85.44"
"Cattle Price per 100 Kg","1976M10","Bullocks 500-549kg","Euro","87.17"
"Cattle Price per 100 Kg","1976M10","Bullocks 550kg+","Euro","90.35"
"Cattle Price per 100 Kg","1976M10","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M10","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M10","Heifers 300-349kg","Euro","75.31"
"Cattle Price per 100 Kg","1976M10","Heifers 350-399kg","Euro","74.83"
"Cattle Price per 100 Kg","1976M10","Heifers 400-449kg","Euro","72.01"
"Cattle Price per 100 Kg","1976M10","Cows for slaughter","Euro","53.58"
"Cattle Price per 100 Kg","1976M11","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M11","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M11","Bullocks 300-349kg","Euro","85.63"
"Cattle Price per 100 Kg","1976M11","Bullocks 350-399kg","Euro","84.87"
"Cattle Price per 100 Kg","1976M11","Bullocks 400-449kg","Euro","87.87"
"Cattle Price per 100 Kg","1976M11","Bullocks 450-499kg","Euro","89.87"
"Cattle Price per 100 Kg","1976M11","Bullocks 500-549kg","Euro","90.06"
"Cattle Price per 100 Kg","1976M11","Bullocks 550kg+","Euro","89.9"
"Cattle Price per 100 Kg","1976M11","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M11","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M11","Heifers 300-349kg","Euro","73.84"
"Cattle Price per 100 Kg","1976M11","Heifers 350-399kg","Euro","71.77"
"Cattle Price per 100 Kg","1976M11","Heifers 400-449kg","Euro","70.89"
"Cattle Price per 100 Kg","1976M11","Cows for slaughter","Euro","55.06"
"Cattle Price per 100 Kg","1976M12","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M12","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M12","Bullocks 300-349kg","Euro","87.57"
"Cattle Price per 100 Kg","1976M12","Bullocks 350-399kg","Euro","91.5"
"Cattle Price per 100 Kg","1976M12","Bullocks 400-449kg","Euro","93.74"
"Cattle Price per 100 Kg","1976M12","Bullocks 450-499kg","Euro","91.85"
"Cattle Price per 100 Kg","1976M12","Bullocks 500-549kg","Euro","90.18"
"Cattle Price per 100 Kg","1976M12","Bullocks 550kg+","Euro","87.32"
"Cattle Price per 100 Kg","1976M12","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M12","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M12","Heifers 300-349kg","Euro","69.89"
"Cattle Price per 100 Kg","1976M12","Heifers 350-399kg","Euro","69.53"
"Cattle Price per 100 Kg","1976M12","Heifers 400-449kg","Euro","74.25"
"Cattle Price per 100 Kg","1976M12","Cows for slaughter","Euro","60.35"
"Cattle Price per 100 Kg","1977M01","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M01","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M01","Bullocks 300-349kg","Euro","95.08"
"Cattle Price per 100 Kg","1977M01","Bullocks 350-399kg","Euro","96.03"
"Cattle Price per 100 Kg","1977M01","Bullocks 400-449kg","Euro","93.72"
"Cattle Price per 100 Kg","1977M01","Bullocks 450-499kg","Euro","91.09"
"Cattle Price per 100 Kg","1977M01","Bullocks 500-549kg","Euro","88.59"
"Cattle Price per 100 Kg","1977M01","Bullocks 550kg+","Euro","83.96"
"Cattle Price per 100 Kg","1977M01","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1977M01","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1977M01","Heifers 300-349kg","Euro","66.29"
"Cattle Price per 100 Kg","1977M01","Heifers 350-399kg","Euro","73.62"
