"Statistic","Month","Type of Cattle","UNIT","VALUE"
"Cattle Price per 100 Kg","2000M06","Heifers 200-249kg","Euro","127.86"
"Cattle Price per 100 Kg","2000M06","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","2000M06","Heifers 300-349kg","Euro",""
"Cattle Price per 100 Kg","2000M06","Heifers 350-399kg","Euro",""
"Cattle Price per 100 Kg","2000M06","Heifers 400-449kg","Euro",""
"Cattle Price per 100 Kg","2000M06","Cows for slaughter","Euro","67.59"
"Cattle Price per 100 Kg","2000M07","Bullocks 200-249kg","Euro","199.98"
"Cattle Price per 100 Kg","2000M07","Bullocks 250-299kg","Euro","189.29"
"Cattle Price per 100 Kg","2000M07","Bullocks 300-349kg","Euro","180.23"
"Cattle Price per 100 Kg","2000M07","Bullocks 350-399kg","Euro","164.1"
"Cattle Price per 100 Kg","2000M07","Bullocks 400-449kg","Euro","151.41"
"Cattle Price per 100 Kg","2000M07","Bullocks 450-499kg","Euro","142.44"
"Cattle Price per 100 Kg","2000M07","Bullocks 500-549kg","Euro","138.81"
"Cattle Price per 100 Kg","2000M07","Bullocks 550kg+","Euro","128.45"
"Cattle Price per 100 Kg","2000M07","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","2000M07","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","2000M07","Heifers 300-349kg","Euro",""
"Cattle Price per 100 Kg","2000M07","Heifers 350-399kg","Euro",""
"Cattle Price per 100 Kg","2000M07","Heifers 400-449kg","Euro","129.61"
"Cattle Price per 100 Kg","2000M07","Cows for slaughter","Euro","67.94"
"Cattle Price per 100 Kg","2000M08","Bullocks 200-249kg","Euro","201.09"
"Cattle Price per 100 Kg","2000M08","Bullocks 250-299kg","Euro","205.25"
"Cattle Price per 100 Kg","2000M08","Bullocks 300-349kg","Euro","177.89"
"Cattle Price per 100 Kg","2000M08","Bullocks 350-399kg","Euro","156.45"
"Cattle Price per 100 Kg","2000M08","Bullocks 400-449kg","Euro","147.92"
"Cattle Price per 100 Kg","2000M08","Bullocks 450-499kg","Euro","147.76"
"Cattle Price per 100 Kg","2000M08","Bullocks 500-549kg","Euro","131.89"
"Cattle Price per 100 Kg","2000M08","Bullocks 550kg+","Euro",""
"Cattle Price per 100 Kg","2000M08","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","2000M08","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","2000M08","Heifers 300-349kg","Euro",""
"Cattle Price per 100 Kg","2000M08","Heifers 350-399kg","Euro","129.11"
"Cattle Price per 100 Kg","2000M08","Heifers 400-449kg","Euro","121.87"
"Cattle Price per 100 Kg","2000M08","Cows for slaughter","Euro","61.89"
"Cattle Price per 100 Kg","2000M09","Bullocks 200-249kg","Euro","223.29"
"Cattle Price per 100 Kg","2000M09","Bullocks 250-299kg","Euro","200.54"
"Cattle Price per 100 Kg","2000M09","Bullocks 300-349kg","Euro","164.47"
"Cattle Price per 100 Kg","2000M09","Bullocks 350-399kg","Euro","150.27"
"Cattle Price per 100 Kg","2000M09","Bullocks 400-449kg","Euro","154.86"
"Cattle Price per 100 Kg","2000M09","Bullocks 450-499kg","Euro","136.79"
"Cattle Price per 100 Kg","2000M09","Bullocks 500-549kg","Euro",""
"Cattle Price per 100 Kg","2000M09","Bullocks 550kg+","Euro",""
"Cattle Price per 100 Kg","2000M09","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","2000M09","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","2000M09","Heifers 300-349kg","Euro","126.05"
"Cattle Price per 100 Kg","2000M09","Heifers 350-399kg","Euro","120.13"
"Cattle Price per 100 Kg","2000M09","Heifers 400-449kg","Euro","121.79"
"Cattle Price per 100 Kg","2000M09","Cows for slaughter","Euro","62.7"
"Cattle Price per 100 Kg","2000M10","Bullocks 200-249kg","Euro","216.98"
"Cattle Price per 100 Kg","2000M10","Bullocks 250-299kg","Euro","188.9"
"Cattle Price per 100 Kg","2000M10","Bullocks 300-349kg","Euro","159.03"
"Cattle Price per 100 Kg","2000M10","Bullocks 350-399kg","Euro","163.34"
"Cattle Price per 100 Kg","2000M10","Bullocks 400-449kg","Euro","143.65"
"Cattle Price per 100 Kg","2000M10","Bullocks 450-499kg","Euro",""
"Cattle Price per 100 Kg","2000M10","Bullocks 500-549kg","Euro",""
"Cattle Price per 100 Kg","2000M10","Bullocks 550kg+","Euro",""
"Cattle Price per 100 Kg","2000M10","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","2000M10","Heifers 250-299kg","Euro","122.01"
"Cattle Price per 100 Kg","2000M10","Heifers 300-349kg","Euro","117.97"
"Cattle Price per 100 Kg","2000M10","Heifers 350-399kg","Euro","121.73"
"Cattle Price per 100 Kg","2000M10","Heifers 400-449kg","Euro","124.83"
"Cattle Price per 100 Kg","2000M10","Cows for slaughter","Euro","59.58"
"Cattle Price per 100 Kg","2000M11","Bullocks 200-249kg","Euro","204.59"
"Cattle Price per 100 Kg","2000M11","Bullocks 250-299kg","Euro","171.02"
"Cattle Price per 100 Kg","2000M11","Bullocks 300-349kg","Euro","178.32"
"Cattle Price per 100 Kg","2000M11","Bullocks 350-399kg","Euro","154.27"
"Cattle Price per 100 Kg","2000M11","Bullocks 400-449kg","Euro",""
"Cattle Price per 100 Kg","2000M11","Bullocks 450-499kg","Euro",""
"Cattle Price per 100 Kg","2000M11","Bullocks 500-549kg","Euro",""
"Cattle Price per 100 Kg","2000M11","Bullocks 550kg+","Euro",""
"Cattle Price per 100 Kg","2000M11","Heifers 200-249kg","Euro","119.2"
"Cattle Price per 100 Kg","2000M11","Heifers 250-299kg","Euro","116.14"
"Cattle Price per 100 Kg","2000M11","Heifers 300-349kg","Euro","120.54"
"Cattle Price per 100 Kg","2000M11","Heifers 350-399kg","Euro","123.77"
"Cattle Price per 100 Kg","2000M11","Heifers 400-449kg","Euro","130.62"
"Cattle Price per 100 Kg","2000M11","Cows for slaughter","Euro","63.64"
"Cattle Price per 100 Kg","2000M12","Bullocks 200-249kg","Euro","194.43"
"Cattle Price per 100 Kg","2000M12","Bullocks 250-299kg","Euro","201.3"
"Cattle Price per 100 Kg","2000M12","Bullocks 300-349kg","Euro","168.6"
"Cattle Price per 100 Kg","2000M12","Bullocks 350-399kg","Euro",""
"Cattle Price per 100 Kg","2000M12","Bullocks 400-449kg","Euro",""
"Cattle Price per 100 Kg","2000M12","Bullocks 450-499kg","Euro",""
"Cattle Price per 100 Kg","2000M12","Bullocks 500-549kg","Euro",""
"Cattle Price per 100 Kg","2000M12","Bullocks 550kg+","Euro","130.36"
"Cattle Price per 100 Kg","2000M12","Heifers 200-249kg","Euro","117.15"
"Cattle Price per 100 Kg","2000M12","Heifers 250-299kg","Euro","121.18"
"Cattle Price per 100 Kg","2000M12","Heifers 300-349kg","Euro","122.43"
"Cattle Price per 100 Kg","2000M12","Heifers 350-399kg","Euro","128.25"
"Cattle Price per 100 Kg","2000M12","Heifers 400-449kg","Euro","129.67"
"Cattle Price per 100 Kg","2000M12","Cows for slaughter","Euro","63.19"
"Cattle Price per 100 Kg","2001M01","Bullocks 200-249kg","Euro","223.66"
"Cattle Price per 100 Kg","2001M01","Bullocks 250-299kg","Euro","177.67"
"Cattle Price per 100 Kg","2001M01","Bullocks 300-349kg","Euro",""
"Cattle Price per 100 Kg","2001M01","Bullocks 350-399kg","Euro",""
"Cattle Price per 100 Kg","2001M01","Bullocks 400-449kg","Euro",""
"Cattle Price per 100 Kg","2001M01","Bullocks 450-499kg","Euro",""
"Cattle Price per 100 Kg","2001M01","Bullocks 500-549kg","Euro","134.74"
"Cattle Price per 100 Kg","2001M01","Bullocks 550kg+","Euro","123.04"
"Cattle Price per 100 Kg","2001M01","Heifers 200-249kg","Euro","120.31"
"Cattle Price per 100 Kg","2001M01","Heifers 250-299kg","Euro","120.48"
"Cattle Price per 100 Kg","2001M01","Heifers 300-349kg","Euro","125.78"
"Cattle Price per 100 Kg","2001M01","Heifers 350-399kg","Euro","133.15"
"Cattle Price per 100 Kg","2001M01","Heifers 400-449kg","Euro","145.32"
"Cattle Price per 100 Kg","2001M01","Cows for slaughter","Euro","63.2"
"Cattle Price per 100 Kg","2001M02","Bullocks 200-249kg","Euro","198.13"
"Cattle Price per 100 Kg","2001M02","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","2001M02","Bullocks 300-349kg","Euro",""
"Cattle Price per 100 Kg","2001M02","Bullocks 350-399kg","Euro",""
"Cattle Price per 100 Kg","2001M02","Bullocks 400-449kg","Euro",""
"Cattle Price per 100 Kg","2001M02","Bullocks 450-499kg","Euro","143.15"
"Cattle Price per 100 Kg","2001M02","Bullocks 500-549kg","Euro","132.51"
"Cattle Price per 100 Kg","2001M02","Bullocks 550kg+","Euro","127.95"
"Cattle Price per 100 Kg","2001M02","Heifers 200-249kg","Euro","125.46"
"Cattle Price per 100 Kg","2001M02","Heifers 250-299kg","Euro","127.09"
"Cattle Price per 100 Kg","2001M02","Heifers 300-349kg","Euro","135.8"
"Cattle Price per 100 Kg","2001M02","Heifers 350-399kg","Euro","145.4"
"Cattle Price per 100 Kg","2001M02","Heifers 400-449kg","Euro","145.39"
"Cattle Price per 100 Kg","2001M02","Cows for slaughter","Euro","68.79"
"Cattle Price per 100 Kg","2001M03","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","2001M03","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","2001M03","Bullocks 300-349kg","Euro",""
"Cattle Price per 100 Kg","2001M03","Bullocks 350-399kg","Euro",""
"Cattle Price per 100 Kg","2001M03","Bullocks 400-449kg","Euro","150.27"
"Cattle Price per 100 Kg","2001M03","Bullocks 450-499kg","Euro","141.01"
"Cattle Price per 100 Kg","2001M03","Bullocks 500-549kg","Euro","137.74"
"Cattle Price per 100 Kg","2001M03","Bullocks 550kg+","Euro","131.26"
"Cattle Price per 100 Kg","2001M03","Heifers 200-249kg","Euro","128.4"
"Cattle Price per 100 Kg","2001M03","Heifers 250-299kg","Euro","133.85"
"Cattle Price per 100 Kg","2001M03","Heifers 300-349kg","Euro","148.16"
"Cattle Price per 100 Kg","2001M03","Heifers 350-399kg","Euro","147.1"
"Cattle Price per 100 Kg","2001M03","Heifers 400-449kg","Euro","145.13"
"Cattle Price per 100 Kg","2001M03","Cows for slaughter","Euro","76.18"
"Cattle Price per 100 Kg","2001M04","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","2001M04","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","2001M04","Bullocks 300-349kg","Euro",""
"Cattle Price per 100 Kg","2001M04","Bullocks 350-399kg","Euro","155.56"
"Cattle Price per 100 Kg","2001M04","Bullocks 400-449kg","Euro","145.86"
"Cattle Price per 100 Kg","2001M04","Bullocks 450-499kg","Euro","142.06"
"Cattle Price per 100 Kg","2001M04","Bullocks 500-549kg","Euro","138.92"
"Cattle Price per 100 Kg","2001M04","Bullocks 550kg+","Euro","132.4"
"Cattle Price per 100 Kg","2001M04","Heifers 200-249kg","Euro","137.31"
"Cattle Price per 100 Kg","2001M04","Heifers 250-299kg","Euro","148.65"
"Cattle Price per 100 Kg","2001M04","Heifers 300-349kg","Euro","145.9"
"Cattle Price per 100 Kg","2001M04","Heifers 350-399kg","Euro","150.69"
"Cattle Price per 100 Kg","2001M04","Heifers 400-449kg","Euro","147.91"
"Cattle Price per 100 Kg","2001M04","Cows for slaughter","Euro","81.9"
"Cattle Price per 100 Kg","2001M05","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","2001M05","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","2001M05","Bullocks 300-349kg","Euro","159.76"
"Cattle Price per 100 Kg","2001M05","Bullocks 350-399kg","Euro","150.31"
"Cattle Price per 100 Kg","2001M05","Bullocks 400-449kg","Euro","146.71"
"Cattle Price per 100 Kg","2001M05","Bullocks 450-499kg","Euro","142.68"
"Cattle Price per 100 Kg","2001M05","Bullocks 500-549kg","Euro","143.74"
"Cattle Price per 100 Kg","2001M05","Bullocks 550kg+","Euro","135.59"
"Cattle Price per 100 Kg","2001M05","Heifers 200-249kg","Euro","154.76"
"Cattle Price per 100 Kg","2001M05","Heifers 250-299kg","Euro","152.37"
"Cattle Price per 100 Kg","2001M05","Heifers 300-349kg","Euro","151.85"
"Cattle Price per 100 Kg","2001M05","Heifers 350-399kg","Euro","150.63"
"Cattle Price per 100 Kg","2001M05","Heifers 400-449kg","Euro","144.8"
"Cattle Price per 100 Kg","2001M05","Cows for slaughter","Euro","85.13"
"Cattle Price per 100 Kg","2001M06","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","2001M06","Bullocks 250-299kg","Euro","168.52"
"Cattle Price per 100 Kg","2001M06","Bullocks 300-349kg","Euro","153.69"
"Cattle Price per 100 Kg","2001M06","Bullocks 350-399kg","Euro","151.31"
"Cattle Price per 100 Kg","2001M06","Bullocks 400-449kg","Euro","145.98"
"Cattle Price per 100 Kg","2001M06","Bullocks 450-499kg","Euro","147.84"
"Cattle Price per 100 Kg","2001M06","Bullocks 500-549kg","Euro","142.08"
"Cattle Price per 100 Kg","2001M06","Bullocks 550kg+","Euro","145.34"
"Cattle Price per 100 Kg","2001M06","Heifers 200-249kg","Euro","154.14"
"Cattle Price per 100 Kg","2001M06","Heifers 250-299kg","Euro","150.69"
"Cattle Price per 100 Kg","2001M06","Heifers 300-349kg","Euro","149.88"
"Cattle Price per 100 Kg","2001M06","Heifers 350-399kg","Euro","144.75"
"Cattle Price per 100 Kg","2001M06","Heifers 400-449kg","Euro","128.12"
"Cattle Price per 100 Kg","2001M06","Cows for slaughter","Euro","77.42"
"Cattle Price per 100 Kg","2001M07","Bullocks 200-249kg","Euro","172.76"
"Cattle Price per 100 Kg","2001M07","Bullocks 250-299kg","Euro","166.44"
"Cattle Price per 100 Kg","2001M07","Bullocks 300-349kg","Euro","161.08"
"Cattle Price per 100 Kg","2001M07","Bullocks 350-399kg","Euro","151.09"
"Cattle Price per 100 Kg","2001M07","Bullocks 400-449kg","Euro","152.3"
"Cattle Price per 100 Kg","2001M07","Bullocks 450-499kg","Euro","149.66"
"Cattle Price per 100 Kg","2001M07","Bullocks 500-549kg","Euro","152.02"
"Cattle Price per 100 Kg","2001M07","Bullocks 550kg+","Euro","141.83"
"Cattle Price per 100 Kg","2001M07","Heifers 200-249kg","Euro","151.35"
"Cattle Price per 100 Kg","2001M07","Heifers 250-299kg","Euro","149.5"
"Cattle Price per 100 Kg","2001M07","Heifers 300-349kg","Euro","144.45"
"Cattle Price per 100 Kg","2001M07","Heifers 350-399kg","Euro","130.53"
"Cattle Price per 100 Kg","2001M07","Heifers 400-449kg","Euro","125.22"
"Cattle Price per 100 Kg","2001M07","Cows for slaughter","Euro","77.4"
"Cattle Price per 100 Kg","2001M08","Bullocks 200-249kg","Euro","188.32"
"Cattle Price per 100 Kg","2001M08","Bullocks 250-299kg","Euro","181.76"
"Cattle Price per 100 Kg","2001M08","Bullocks 300-349kg","Euro","165.23"
"Cattle Price per 100 Kg","2001M08","Bullocks 350-399kg","Euro","154.44"
"Cattle Price per 100 Kg","2001M08","Bullocks 400-449kg","Euro","154.5"
"Cattle Price per 100 Kg","2001M08","Bullocks 450-499kg","Euro","155.4"
"Cattle Price per 100 Kg","2001M08","Bullocks 500-549kg","Euro","150.57"
"Cattle Price per 100 Kg","2001M08","Bullocks 550kg+","Euro","142.04"
"Cattle Price per 100 Kg","2001M08","Heifers 200-249kg","Euro","150.75"
"Cattle Price per 100 Kg","2001M08","Heifers 250-299kg","Euro","142.41"
"Cattle Price per 100 Kg","2001M08","Heifers 300-349kg","Euro","131.71"
"Cattle Price per 100 Kg","2001M08","Heifers 350-399kg","Euro","125.34"
"Cattle Price per 100 Kg","2001M08","Heifers 400-449kg","Euro","126.17"
"Cattle Price per 100 Kg","2001M08","Cows for slaughter","Euro","76.29"
"Cattle Price per 100 Kg","2001M09","Bullocks 200-249kg","Euro","195.31"
"Cattle Price per 100 Kg","2001M09","Bullocks 250-299kg","Euro","189.66"
"Cattle Price per 100 Kg","2001M09","Bullocks 300-349kg","Euro","167.48"
"Cattle Price per 100 Kg","2001M09","Bullocks 350-399kg","Euro","158.81"
"Cattle Price per 100 Kg","2001M09","Bullocks 400-449kg","Euro","163.76"
"Cattle Price per 100 Kg","2001M09","Bullocks 450-499kg","Euro","159.35"
"Cattle Price per 100 Kg","2001M09","Bullocks 500-549kg","Euro","152.09"
"Cattle Price per 100 Kg","2001M09","Bullocks 550kg+","Euro","141.41"
"Cattle Price per 100 Kg","2001M09","Heifers 200-249kg","Euro","147.28"
"Cattle Price per 100 Kg","2001M09","Heifers 250-299kg","Euro","131.14"
"Cattle Price per 100 Kg","2001M09","Heifers 300-349kg","Euro","124.93"
"Cattle Price per 100 Kg","2001M09","Heifers 350-399kg","Euro","126.36"
"Cattle Price per 100 Kg","2001M09","Heifers 400-449kg","Euro","121.52"
"Cattle Price per 100 Kg","2001M09","Cows for slaughter","Euro","69.77"
"Cattle Price per 100 Kg","2001M10","Bullocks 200-249kg","Euro","203.53"
"Cattle Price per 100 Kg","2001M10","Bullocks 250-299kg","Euro","192.25"
"Cattle Price per 100 Kg","2001M10","Bullocks 300-349kg","Euro","165.89"
"Cattle Price per 100 Kg","2001M10","Bullocks 350-399kg","Euro","167.23"
"Cattle Price per 100 Kg","2001M10","Bullocks 400-449kg","Euro","164.88"
"Cattle Price per 100 Kg","2001M10","Bullocks 450-499kg","Euro","159.53"
"Cattle Price per 100 Kg","2001M10","Bullocks 500-549kg","Euro","151.07"
"Cattle Price per 100 Kg","2001M10","Bullocks 550kg+","Euro","139.87"
"Cattle Price per 100 Kg","2001M10","Heifers 200-249kg","Euro","130.4"
"Cattle Price per 100 Kg","2001M10","Heifers 250-299kg","Euro","127.71"
"Cattle Price per 100 Kg","2001M10","Heifers 300-349kg","Euro","122.02"
"Cattle Price per 100 Kg","2001M10","Heifers 350-399kg","Euro","120.6"
"Cattle Price per 100 Kg","2001M10","Heifers 400-449kg","Euro","122.28"
"Cattle Price per 100 Kg","2001M10","Cows for slaughter","Euro","53.34"
"Cattle Price per 100 Kg","2001M11","Bullocks 200-249kg","Euro","212.43"
"Cattle Price per 100 Kg","2001M11","Bullocks 250-299kg","Euro","181.56"
"Cattle Price per 100 Kg","2001M11","Bullocks 300-349kg","Euro","173.83"
"Cattle Price per 100 Kg","2001M11","Bullocks 350-399kg","Euro","174.33"
"Cattle Price per 100 Kg","2001M11","Bullocks 400-449kg","Euro","165.82"
"Cattle Price per 100 Kg","2001M11","Bullocks 450-499kg","Euro","158.42"
"Cattle Price per 100 Kg","2001M11","Bullocks 500-549kg","Euro","148.69"
"Cattle Price per 100 Kg","2001M11","Bullocks 550kg+","Euro","135.27"
"Cattle Price per 100 Kg","2001M11","Heifers 200-249kg","Euro","125.31"
"Cattle Price per 100 Kg","2001M11","Heifers 250-299kg","Euro","126.11"
"Cattle Price per 100 Kg","2001M11","Heifers 300-349kg","Euro","118.01"
"Cattle Price per 100 Kg","2001M11","Heifers 350-399kg","Euro","120.66"
"Cattle Price per 100 Kg","2001M11","Heifers 400-449kg","Euro","123.87"
"Cattle Price per 100 Kg","2001M11","Cows for slaughter","Euro","54.95"
"Cattle Price per 100 Kg","2001M12","Bullocks 200-249kg","Euro","191.7"
"Cattle Price per 100 Kg","2001M12","Bullocks 250-299kg","Euro","188.83"
"Cattle Price per 100 Kg","2001M12","Bullocks 300-349kg","Euro","181.05"
"Cattle Price per 100 Kg","2001M12","Bullocks 350-399kg","Euro","169.83"
"Cattle Price per 100 Kg","2001M12","Bullocks 400-449kg","Euro","163.66"
"Cattle Price per 100 Kg","2001M12","Bullocks 450-499kg","Euro","155.18"
"Cattle Price per 100 Kg","2001M12","Bullocks 500-549kg","Euro","138.62"
"Cattle Price per 100 Kg","2001M12","Bullocks 550kg+","Euro","129.56"
"Cattle Price per 100 Kg","2001M12","Heifers 200-249kg","Euro","117.97"
"Cattle Price per 100 Kg","2001M12","Heifers 250-299kg","Euro","120.06"
"Cattle Price per 100 Kg","2001M12","Heifers 300-349kg","Euro","116.92"
"Cattle Price per 100 Kg","2001M12","Heifers 350-399kg","Euro","122.28"
"Cattle Price per 100 Kg","2001M12","Heifers 400-449kg","Euro","124.99"
"Cattle Price per 100 Kg","2001M12","Cows for slaughter","Euro",""
"Cattle Price per 100 Kg","2002M01","Bullocks 200-249kg","Euro","193.42"
"Cattle Price per 100 Kg","2002M01","Bullocks 250-299kg","Euro","192.44"
"Cattle Price per 100 Kg","2002M01","Bullocks 300-349kg","Euro","176.99"
"Cattle Price per 100 Kg","2002M01","Bullocks 350-399kg","Euro","171.94"
"Cattle Price per 100 Kg","2002M01","Bullocks 400-449kg","Euro","161.76"
"Cattle Price per 100 Kg","2002M01","Bullocks 450-499kg","Euro","146.44"
"Cattle Price per 100 Kg","2002M01","Bullocks 500-549kg","Euro","136.63"
"Cattle Price per 100 Kg","2002M01","Bullocks 550kg+","Euro","131.09"
"Cattle Price per 100 Kg","2002M01","Heifers 200-249kg","Euro","121.46"
"Cattle Price per 100 Kg","2002M01","Heifers 250-299kg","Euro","118.09"
"Cattle Price per 100 Kg","2002M01","Heifers 300-349kg","Euro","119.62"
"Cattle Price per 100 Kg","2002M01","Heifers 350-399kg","Euro","124.96"
"Cattle Price per 100 Kg","2002M01","Heifers 400-449kg","Euro","132.9"
"Cattle Price per 100 Kg","2002M01","Cows for slaughter","Euro",""
"Cattle Price per 100 Kg","2002M02","Bullocks 200-249kg","Euro","211.08"
"Cattle Price per 100 Kg","2002M02","Bullocks 250-299kg","Euro","188.19"
"Cattle Price per 100 Kg","2002M02","Bullocks 300-349kg","Euro","177.35"
"Cattle Price per 100 Kg","2002M02","Bullocks 350-399kg","Euro","167.41"
"Cattle Price per 100 Kg","2002M02","Bullocks 400-449kg","Euro","153.92"
"Cattle Price per 100 Kg","2002M02","Bullocks 450-499kg","Euro","141.32"
"Cattle Price per 100 Kg","2002M02","Bullocks 500-549kg","Euro","139"
"Cattle Price per 100 Kg","2002M02","Bullocks 550kg+","Euro","133.09"
"Cattle Price per 100 Kg","2002M02","Heifers 200-249kg","Euro","126.37"
"Cattle Price per 100 Kg","2002M02","Heifers 250-299kg","Euro","120.8"
"Cattle Price per 100 Kg","2002M02","Heifers 300-349kg","Euro","121.75"
"Cattle Price per 100 Kg","2002M02","Heifers 350-399kg","Euro","139.28"
"Cattle Price per 100 Kg","2002M02","Heifers 400-449kg","Euro","136.77"
"Cattle Price per 100 Kg","2002M02","Cows for slaughter","Euro",""
"Cattle Price per 100 Kg","2002M03","Bullocks 200-249kg","Euro","208.25"
"Cattle Price per 100 Kg","2002M03","Bullocks 250-299kg","Euro","187.8"
"Cattle Price per 100 Kg","2002M03","Bullocks 300-349kg","Euro","175.57"
"Cattle Price per 100 Kg","2002M03","Bullocks 350-399kg","Euro","158.9"
"Cattle Price per 100 Kg","2002M03","Bullocks 400-449kg","Euro","142.9"
"Cattle Price per 100 Kg","2002M03","Bullocks 450-499kg","Euro","145.33"
"Cattle Price per 100 Kg","2002M03","Bullocks 500-549kg","Euro","140.24"
"Cattle Price per 100 Kg","2002M03","Bullocks 550kg+","Euro","138.08"
"Cattle Price per 100 Kg","2002M03","Heifers 200-249kg","Euro","124.37"
"Cattle Price per 100 Kg","2002M03","Heifers 250-299kg","Euro","120.64"
"Cattle Price per 100 Kg","2002M03","Heifers 300-349kg","Euro","135.97"
"Cattle Price per 100 Kg","2002M03","Heifers 350-399kg","Euro","139.2"
"Cattle Price per 100 Kg","2002M03","Heifers 400-449kg","Euro","134.09"
"Cattle Price per 100 Kg","2002M03","Cows for slaughter","Euro",""
"Cattle Price per 100 Kg","2002M04","Bullocks 200-249kg","Euro","204.09"
"Cattle Price per 100 Kg","2002M04","Bullocks 250-299kg","Euro","181.66"
"Cattle Price per 100 Kg","2002M04","Bullocks 300-349kg","Euro","169.18"
"Cattle Price per 100 Kg","2002M04","Bullocks 350-399kg","Euro","148.41"
"Cattle Price per 100 Kg","2002M04","Bullocks 400-449kg","Euro","148.66"
"Cattle Price per 100 Kg","2002M04","Bullocks 450-499kg","Euro","140.05"
"Cattle Price per 100 Kg","2002M04","Bullocks 500-549kg","Euro","140.6"
"Cattle Price per 100 Kg","2002M04","Bullocks 550kg+","Euro","134.05"
"Cattle Price per 100 Kg","2002M04","Heifers 200-249kg","Euro","122.24"
"Cattle Price per 100 Kg","2002M04","Heifers 250-299kg","Euro","138.62"
"Cattle Price per 100 Kg","2002M04","Heifers 300-349kg","Euro","140.94"
"Cattle Price per 100 Kg","2002M04","Heifers 350-399kg","Euro","136.34"
"Cattle Price per 100 Kg","2002M04","Heifers 400-449kg","Euro","139.83"
"Cattle Price per 100 Kg","2002M04","Cows for slaughter","Euro",""
"Cattle Price per 100 Kg","2002M05","Bullocks 200-249kg","Euro","194.01"
"Cattle Price per 100 Kg","2002M05","Bullocks 250-299kg","Euro","176.46"
"Cattle Price per 100 Kg","2002M05","Bullocks 300-349kg","Euro","159.72"
"Cattle Price per 100 Kg","2002M05","Bullocks 350-399kg","Euro","153.12"
"Cattle Price per 100 Kg","2002M05","Bullocks 400-449kg","Euro","143.95"
"Cattle Price per 100 Kg","2002M05","Bullocks 450-499kg","Euro","142.35"
"Cattle Price per 100 Kg","2002M05","Bullocks 500-549kg","Euro","140.75"
"Cattle Price per 100 Kg","2002M05","Bullocks 550kg+","Euro","135.36"
"Cattle Price per 100 Kg","2002M05","Heifers 200-249kg","Euro","136.46"
"Cattle Price per 100 Kg","2002M05","Heifers 250-299kg","Euro","141.13"
"Cattle Price per 100 Kg","2002M05","Heifers 300-349kg","Euro","136.09"
"Cattle Price per 100 Kg","2002M05","Heifers 350-399kg","Euro","141.82"
"Cattle Price per 100 Kg","2002M05","Heifers 400-449kg","Euro","135.22"
"Cattle Price per 100 Kg","2002M05","Cows for slaughter","Euro",""
"Cattle Price per 100 Kg","2002M06","Bullocks 200-249kg","Euro","184.56"
"Cattle Price per 100 Kg","2002M06","Bullocks 250-299kg","Euro","173.67"
"Cattle Price per 100 Kg","2002M06","Bullocks 300-349kg","Euro","157.75"
"Cattle Price per 100 Kg","2002M06","Bullocks 350-399kg","Euro","149.26"
"Cattle Price per 100 Kg","2002M06","Bullocks 400-449kg","Euro","145.09"
"Cattle Price per 100 Kg","2002M06","Bullocks 450-499kg","Euro","143.25"
"Cattle Price per 100 Kg","2002M06","Bullocks 500-549kg","Euro","144.18"
"Cattle Price per 100 Kg","2002M06","Bullocks 550kg+","Euro","137.96"
"Cattle Price per 100 Kg","2002M06","Heifers 200-249kg","Euro","145.43"
"Cattle Price per 100 Kg","2002M06","Heifers 250-299kg","Euro","136.34"
"Cattle Price per 100 Kg","2002M06","Heifers 300-349kg","Euro","144.29"
"Cattle Price per 100 Kg","2002M06","Heifers 350-399kg","Euro","136.43"
"Cattle Price per 100 Kg","2002M06","Heifers 400-449kg","Euro","136.83"
"Cattle Price per 100 Kg","2002M06","Cows for slaughter","Euro",""
"Cattle Price per 100 Kg","2002M07","Bullocks 200-249kg","Euro","173.77"
"Cattle Price per 100 Kg","2002M07","Bullocks 250-299kg","Euro","169.87"
"Cattle Price per 100 Kg","2002M07","Bullocks 300-349kg","Euro","166.06"
"Cattle Price per 100 Kg","2002M07","Bullocks 350-399kg","Euro","150.63"
"Cattle Price per 100 Kg","2002M07","Bullocks 400-449kg","Euro","143.59"
"Cattle Price per 100 Kg","2002M07","Bullocks 450-499kg","Euro","149.46"
"Cattle Price per 100 Kg","2002M07","Bullocks 500-549kg","Euro","144.1"
"Cattle Price per 100 Kg","2002M07","Bullocks 550kg+","Euro","137.7"
