"Statistic","Month","Commodity Group","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","1981M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1981M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M05","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M05","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M06","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M06","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M07","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M07","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M08","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M08","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M09","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M09","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M10","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M10","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M11","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M11","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M12","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1982M12","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M01","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M01","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M02","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M02","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M03","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M03","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M04","All items","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M04","Food and non-alcoholic beverages","Base Dec 2016=100",""
"Consumer Price Index (Base Dec 2016=100)","1983M05","All items","Base Dec 2016=100",""
