"Statistic","Month","Commodity Group","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","1999M07","Food and non-alcoholic beverages","Base Dec 2016=100","90.1"
"Consumer Price Index (Base Dec 2016=100)","1999M08","All items","Base Dec 2016=100","71.4"
"Consumer Price Index (Base Dec 2016=100)","1999M08","Food and non-alcoholic beverages","Base Dec 2016=100","90.3"
"Consumer Price Index (Base Dec 2016=100)","1999M09","All items","Base Dec 2016=100","71.6"
"Consumer Price Index (Base Dec 2016=100)","1999M09","Food and non-alcoholic beverages","Base Dec 2016=100","89.8"
"Consumer Price Index (Base Dec 2016=100)","1999M10","All items","Base Dec 2016=100","71.7"
"Consumer Price Index (Base Dec 2016=100)","1999M10","Food and non-alcoholic beverages","Base Dec 2016=100","89.6"
"Consumer Price Index (Base Dec 2016=100)","1999M11","All items","Base Dec 2016=100","71.8"
"Consumer Price Index (Base Dec 2016=100)","1999M11","Food and non-alcoholic beverages","Base Dec 2016=100","90"
"Consumer Price Index (Base Dec 2016=100)","1999M12","All items","Base Dec 2016=100","72.7"
"Consumer Price Index (Base Dec 2016=100)","1999M12","Food and non-alcoholic beverages","Base Dec 2016=100","90.2"
"Consumer Price Index (Base Dec 2016=100)","2000M01","All items","Base Dec 2016=100","72.5"
"Consumer Price Index (Base Dec 2016=100)","2000M01","Food and non-alcoholic beverages","Base Dec 2016=100","90.2"
"Consumer Price Index (Base Dec 2016=100)","2000M02","All items","Base Dec 2016=100","73.1"
"Consumer Price Index (Base Dec 2016=100)","2000M02","Food and non-alcoholic beverages","Base Dec 2016=100","90.5"
"Consumer Price Index (Base Dec 2016=100)","2000M03","All items","Base Dec 2016=100","73.6"
"Consumer Price Index (Base Dec 2016=100)","2000M03","Food and non-alcoholic beverages","Base Dec 2016=100","90.7"
"Consumer Price Index (Base Dec 2016=100)","2000M04","All items","Base Dec 2016=100","74.1"
"Consumer Price Index (Base Dec 2016=100)","2000M04","Food and non-alcoholic beverages","Base Dec 2016=100","90.8"
"Consumer Price Index (Base Dec 2016=100)","2000M05","All items","Base Dec 2016=100","74.7"
"Consumer Price Index (Base Dec 2016=100)","2000M05","Food and non-alcoholic beverages","Base Dec 2016=100","92.1"
"Consumer Price Index (Base Dec 2016=100)","2000M06","All items","Base Dec 2016=100","75.2"
"Consumer Price Index (Base Dec 2016=100)","2000M06","Food and non-alcoholic beverages","Base Dec 2016=100","92.6"
"Consumer Price Index (Base Dec 2016=100)","2000M07","All items","Base Dec 2016=100","75.4"
"Consumer Price Index (Base Dec 2016=100)","2000M07","Food and non-alcoholic beverages","Base Dec 2016=100","93.3"
"Consumer Price Index (Base Dec 2016=100)","2000M08","All items","Base Dec 2016=100","75.8"
"Consumer Price Index (Base Dec 2016=100)","2000M08","Food and non-alcoholic beverages","Base Dec 2016=100","93.8"
"Consumer Price Index (Base Dec 2016=100)","2000M09","All items","Base Dec 2016=100","76.1"
"Consumer Price Index (Base Dec 2016=100)","2000M09","Food and non-alcoholic beverages","Base Dec 2016=100","93.7"
"Consumer Price Index (Base Dec 2016=100)","2000M10","All items","Base Dec 2016=100","76.6"
"Consumer Price Index (Base Dec 2016=100)","2000M10","Food and non-alcoholic beverages","Base Dec 2016=100","93.7"
"Consumer Price Index (Base Dec 2016=100)","2000M11","All items","Base Dec 2016=100","76.9"
"Consumer Price Index (Base Dec 2016=100)","2000M11","Food and non-alcoholic beverages","Base Dec 2016=100","93.9"
"Consumer Price Index (Base Dec 2016=100)","2000M12","All items","Base Dec 2016=100","76.9"
"Consumer Price Index (Base Dec 2016=100)","2000M12","Food and non-alcoholic beverages","Base Dec 2016=100","94.5"
"Consumer Price Index (Base Dec 2016=100)","2001M01","All items","Base Dec 2016=100","76.3"
"Consumer Price Index (Base Dec 2016=100)","2001M01","Food and non-alcoholic beverages","Base Dec 2016=100","94.6"
"Consumer Price Index (Base Dec 2016=100)","2001M02","All items","Base Dec 2016=100","77"
"Consumer Price Index (Base Dec 2016=100)","2001M02","Food and non-alcoholic beverages","Base Dec 2016=100","95.4"
"Consumer Price Index (Base Dec 2016=100)","2001M03","All items","Base Dec 2016=100","77.6"
"Consumer Price Index (Base Dec 2016=100)","2001M03","Food and non-alcoholic beverages","Base Dec 2016=100","96.6"
"Consumer Price Index (Base Dec 2016=100)","2001M04","All items","Base Dec 2016=100","78.3"
"Consumer Price Index (Base Dec 2016=100)","2001M04","Food and non-alcoholic beverages","Base Dec 2016=100","98.1"
"Consumer Price Index (Base Dec 2016=100)","2001M05","All items","Base Dec 2016=100","78.8"
"Consumer Price Index (Base Dec 2016=100)","2001M05","Food and non-alcoholic beverages","Base Dec 2016=100","98.6"
"Consumer Price Index (Base Dec 2016=100)","2001M06","All items","Base Dec 2016=100","79.2"
"Consumer Price Index (Base Dec 2016=100)","2001M06","Food and non-alcoholic beverages","Base Dec 2016=100","99.3"
"Consumer Price Index (Base Dec 2016=100)","2001M07","All items","Base Dec 2016=100","79"
"Consumer Price Index (Base Dec 2016=100)","2001M07","Food and non-alcoholic beverages","Base Dec 2016=100","99.6"
"Consumer Price Index (Base Dec 2016=100)","2001M08","All items","Base Dec 2016=100","79.2"
"Consumer Price Index (Base Dec 2016=100)","2001M08","Food and non-alcoholic beverages","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2001M09","All items","Base Dec 2016=100","79.6"
"Consumer Price Index (Base Dec 2016=100)","2001M09","Food and non-alcoholic beverages","Base Dec 2016=100","100.1"
"Consumer Price Index (Base Dec 2016=100)","2001M10","All items","Base Dec 2016=100","79.8"
"Consumer Price Index (Base Dec 2016=100)","2001M10","Food and non-alcoholic beverages","Base Dec 2016=100","99.8"
"Consumer Price Index (Base Dec 2016=100)","2001M11","All items","Base Dec 2016=100","79.8"
"Consumer Price Index (Base Dec 2016=100)","2001M11","Food and non-alcoholic beverages","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2001M12","All items","Base Dec 2016=100","80.2"
"Consumer Price Index (Base Dec 2016=100)","2001M12","Food and non-alcoholic beverages","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2002M01","All items","Base Dec 2016=100","80.1"
"Consumer Price Index (Base Dec 2016=100)","2002M01","Food and non-alcoholic beverages","Base Dec 2016=100","100.5"
"Consumer Price Index (Base Dec 2016=100)","2002M02","All items","Base Dec 2016=100","80.6"
"Consumer Price Index (Base Dec 2016=100)","2002M02","Food and non-alcoholic beverages","Base Dec 2016=100","100.6"
"Consumer Price Index (Base Dec 2016=100)","2002M03","All items","Base Dec 2016=100","81.3"
"Consumer Price Index (Base Dec 2016=100)","2002M03","Food and non-alcoholic beverages","Base Dec 2016=100","100.7"
"Consumer Price Index (Base Dec 2016=100)","2002M04","All items","Base Dec 2016=100","82"
"Consumer Price Index (Base Dec 2016=100)","2002M04","Food and non-alcoholic beverages","Base Dec 2016=100","101.2"
"Consumer Price Index (Base Dec 2016=100)","2002M05","All items","Base Dec 2016=100","82.5"
"Consumer Price Index (Base Dec 2016=100)","2002M05","Food and non-alcoholic beverages","Base Dec 2016=100","101.7"
"Consumer Price Index (Base Dec 2016=100)","2002M06","All items","Base Dec 2016=100","82.6"
"Consumer Price Index (Base Dec 2016=100)","2002M06","Food and non-alcoholic beverages","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2002M07","All items","Base Dec 2016=100","82.2"
"Consumer Price Index (Base Dec 2016=100)","2002M07","Food and non-alcoholic beverages","Base Dec 2016=100","102.4"
"Consumer Price Index (Base Dec 2016=100)","2002M08","All items","Base Dec 2016=100","82.7"
"Consumer Price Index (Base Dec 2016=100)","2002M08","Food and non-alcoholic beverages","Base Dec 2016=100","102.5"
"Consumer Price Index (Base Dec 2016=100)","2002M09","All items","Base Dec 2016=100","83.1"
"Consumer Price Index (Base Dec 2016=100)","2002M09","Food and non-alcoholic beverages","Base Dec 2016=100","102.7"
"Consumer Price Index (Base Dec 2016=100)","2002M10","All items","Base Dec 2016=100","83.5"
"Consumer Price Index (Base Dec 2016=100)","2002M10","Food and non-alcoholic beverages","Base Dec 2016=100","102.8"
"Consumer Price Index (Base Dec 2016=100)","2002M11","All items","Base Dec 2016=100","83.6"
"Consumer Price Index (Base Dec 2016=100)","2002M11","Food and non-alcoholic beverages","Base Dec 2016=100","102.9"
"Consumer Price Index (Base Dec 2016=100)","2002M12","All items","Base Dec 2016=100","84.2"
"Consumer Price Index (Base Dec 2016=100)","2002M12","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2003M01","All items","Base Dec 2016=100","83.9"
"Consumer Price Index (Base Dec 2016=100)","2003M01","Food and non-alcoholic beverages","Base Dec 2016=100","102.8"
"Consumer Price Index (Base Dec 2016=100)","2003M02","All items","Base Dec 2016=100","84.7"
"Consumer Price Index (Base Dec 2016=100)","2003M02","Food and non-alcoholic beverages","Base Dec 2016=100","103.1"
"Consumer Price Index (Base Dec 2016=100)","2003M03","All items","Base Dec 2016=100","85.3"
"Consumer Price Index (Base Dec 2016=100)","2003M03","Food and non-alcoholic beverages","Base Dec 2016=100","103.4"
"Consumer Price Index (Base Dec 2016=100)","2003M04","All items","Base Dec 2016=100","85.5"
"Consumer Price Index (Base Dec 2016=100)","2003M04","Food and non-alcoholic beverages","Base Dec 2016=100","103.4"
"Consumer Price Index (Base Dec 2016=100)","2003M05","All items","Base Dec 2016=100","85.4"
"Consumer Price Index (Base Dec 2016=100)","2003M05","Food and non-alcoholic beverages","Base Dec 2016=100","103.3"
"Consumer Price Index (Base Dec 2016=100)","2003M06","All items","Base Dec 2016=100","85.5"
"Consumer Price Index (Base Dec 2016=100)","2003M06","Food and non-alcoholic beverages","Base Dec 2016=100","103.6"
"Consumer Price Index (Base Dec 2016=100)","2003M07","All items","Base Dec 2016=100","84.9"
"Consumer Price Index (Base Dec 2016=100)","2003M07","Food and non-alcoholic beverages","Base Dec 2016=100","104"
"Consumer Price Index (Base Dec 2016=100)","2003M08","All items","Base Dec 2016=100","85.4"
"Consumer Price Index (Base Dec 2016=100)","2003M08","Food and non-alcoholic beverages","Base Dec 2016=100","103.9"
"Consumer Price Index (Base Dec 2016=100)","2003M09","All items","Base Dec 2016=100","85.5"
"Consumer Price Index (Base Dec 2016=100)","2003M09","Food and non-alcoholic beverages","Base Dec 2016=100","103.4"
"Consumer Price Index (Base Dec 2016=100)","2003M10","All items","Base Dec 2016=100","85.5"
"Consumer Price Index (Base Dec 2016=100)","2003M10","Food and non-alcoholic beverages","Base Dec 2016=100","103.3"
"Consumer Price Index (Base Dec 2016=100)","2003M11","All items","Base Dec 2016=100","85.5"
"Consumer Price Index (Base Dec 2016=100)","2003M11","Food and non-alcoholic beverages","Base Dec 2016=100","103.3"
"Consumer Price Index (Base Dec 2016=100)","2003M12","All items","Base Dec 2016=100","85.8"
"Consumer Price Index (Base Dec 2016=100)","2003M12","Food and non-alcoholic beverages","Base Dec 2016=100","103.1"
"Consumer Price Index (Base Dec 2016=100)","2004M01","All items","Base Dec 2016=100","85.4"
"Consumer Price Index (Base Dec 2016=100)","2004M01","Food and non-alcoholic beverages","Base Dec 2016=100","103.2"
"Consumer Price Index (Base Dec 2016=100)","2004M02","All items","Base Dec 2016=100","86.1"
"Consumer Price Index (Base Dec 2016=100)","2004M02","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2004M03","All items","Base Dec 2016=100","86.5"
"Consumer Price Index (Base Dec 2016=100)","2004M03","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2004M04","All items","Base Dec 2016=100","86.7"
"Consumer Price Index (Base Dec 2016=100)","2004M04","Food and non-alcoholic beverages","Base Dec 2016=100","102.7"
"Consumer Price Index (Base Dec 2016=100)","2004M05","All items","Base Dec 2016=100","86.9"
"Consumer Price Index (Base Dec 2016=100)","2004M05","Food and non-alcoholic beverages","Base Dec 2016=100","103.1"
"Consumer Price Index (Base Dec 2016=100)","2004M06","All items","Base Dec 2016=100","87.4"
"Consumer Price Index (Base Dec 2016=100)","2004M06","Food and non-alcoholic beverages","Base Dec 2016=100","103.6"
"Consumer Price Index (Base Dec 2016=100)","2004M07","All items","Base Dec 2016=100","87.1"
"Consumer Price Index (Base Dec 2016=100)","2004M07","Food and non-alcoholic beverages","Base Dec 2016=100","103.2"
"Consumer Price Index (Base Dec 2016=100)","2004M08","All items","Base Dec 2016=100","87.7"
"Consumer Price Index (Base Dec 2016=100)","2004M08","Food and non-alcoholic beverages","Base Dec 2016=100","103.3"
"Consumer Price Index (Base Dec 2016=100)","2004M09","All items","Base Dec 2016=100","87.7"
"Consumer Price Index (Base Dec 2016=100)","2004M09","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2004M10","All items","Base Dec 2016=100","87.8"
"Consumer Price Index (Base Dec 2016=100)","2004M10","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2004M11","All items","Base Dec 2016=100","88"
"Consumer Price Index (Base Dec 2016=100)","2004M11","Food and non-alcoholic beverages","Base Dec 2016=100","102.9"
"Consumer Price Index (Base Dec 2016=100)","2004M12","All items","Base Dec 2016=100","88.1"
"Consumer Price Index (Base Dec 2016=100)","2004M12","Food and non-alcoholic beverages","Base Dec 2016=100","103.3"
"Consumer Price Index (Base Dec 2016=100)","2005M01","All items","Base Dec 2016=100","87.3"
"Consumer Price Index (Base Dec 2016=100)","2005M01","Food and non-alcoholic beverages","Base Dec 2016=100","102.9"
"Consumer Price Index (Base Dec 2016=100)","2005M02","All items","Base Dec 2016=100","88.1"
"Consumer Price Index (Base Dec 2016=100)","2005M02","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2005M03","All items","Base Dec 2016=100","88.3"
"Consumer Price Index (Base Dec 2016=100)","2005M03","Food and non-alcoholic beverages","Base Dec 2016=100","102.3"
"Consumer Price Index (Base Dec 2016=100)","2005M04","All items","Base Dec 2016=100","88.7"
"Consumer Price Index (Base Dec 2016=100)","2005M04","Food and non-alcoholic beverages","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2005M05","All items","Base Dec 2016=100","89"
"Consumer Price Index (Base Dec 2016=100)","2005M05","Food and non-alcoholic beverages","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2005M06","All items","Base Dec 2016=100","89.3"
"Consumer Price Index (Base Dec 2016=100)","2005M06","Food and non-alcoholic beverages","Base Dec 2016=100","102.2"
"Consumer Price Index (Base Dec 2016=100)","2005M07","All items","Base Dec 2016=100","89.2"
"Consumer Price Index (Base Dec 2016=100)","2005M07","Food and non-alcoholic beverages","Base Dec 2016=100","102.5"
"Consumer Price Index (Base Dec 2016=100)","2005M08","All items","Base Dec 2016=100","89.6"
"Consumer Price Index (Base Dec 2016=100)","2005M08","Food and non-alcoholic beverages","Base Dec 2016=100","102.5"
"Consumer Price Index (Base Dec 2016=100)","2005M09","All items","Base Dec 2016=100","90.4"
"Consumer Price Index (Base Dec 2016=100)","2005M09","Food and non-alcoholic beverages","Base Dec 2016=100","102.5"
"Consumer Price Index (Base Dec 2016=100)","2005M10","All items","Base Dec 2016=100","90.4"
"Consumer Price Index (Base Dec 2016=100)","2005M10","Food and non-alcoholic beverages","Base Dec 2016=100","102.3"
"Consumer Price Index (Base Dec 2016=100)","2005M11","All items","Base Dec 2016=100","90.3"
"Consumer Price Index (Base Dec 2016=100)","2005M11","Food and non-alcoholic beverages","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2005M12","All items","Base Dec 2016=100","90.2"
"Consumer Price Index (Base Dec 2016=100)","2005M12","Food and non-alcoholic beverages","Base Dec 2016=100","102.2"
"Consumer Price Index (Base Dec 2016=100)","2006M01","All items","Base Dec 2016=100","89.9"
"Consumer Price Index (Base Dec 2016=100)","2006M01","Food and non-alcoholic beverages","Base Dec 2016=100","102.2"
"Consumer Price Index (Base Dec 2016=100)","2006M02","All items","Base Dec 2016=100","90.9"
"Consumer Price Index (Base Dec 2016=100)","2006M02","Food and non-alcoholic beverages","Base Dec 2016=100","103"
"Consumer Price Index (Base Dec 2016=100)","2006M03","All items","Base Dec 2016=100","91.3"
"Consumer Price Index (Base Dec 2016=100)","2006M03","Food and non-alcoholic beverages","Base Dec 2016=100","103.5"
"Consumer Price Index (Base Dec 2016=100)","2006M04","All items","Base Dec 2016=100","92.1"
"Consumer Price Index (Base Dec 2016=100)","2006M04","Food and non-alcoholic beverages","Base Dec 2016=100","104"
"Consumer Price Index (Base Dec 2016=100)","2006M05","All items","Base Dec 2016=100","92.5"
"Consumer Price Index (Base Dec 2016=100)","2006M05","Food and non-alcoholic beverages","Base Dec 2016=100","104.8"
"Consumer Price Index (Base Dec 2016=100)","2006M06","All items","Base Dec 2016=100","92.7"
"Consumer Price Index (Base Dec 2016=100)","2006M06","Food and non-alcoholic beverages","Base Dec 2016=100","104"
"Consumer Price Index (Base Dec 2016=100)","2006M07","All items","Base Dec 2016=100","93"
"Consumer Price Index (Base Dec 2016=100)","2006M07","Food and non-alcoholic beverages","Base Dec 2016=100","104"
"Consumer Price Index (Base Dec 2016=100)","2006M08","All items","Base Dec 2016=100","93.6"
"Consumer Price Index (Base Dec 2016=100)","2006M08","Food and non-alcoholic beverages","Base Dec 2016=100","104.1"
"Consumer Price Index (Base Dec 2016=100)","2006M09","All items","Base Dec 2016=100","94"
"Consumer Price Index (Base Dec 2016=100)","2006M09","Food and non-alcoholic beverages","Base Dec 2016=100","104.3"
"Consumer Price Index (Base Dec 2016=100)","2006M10","All items","Base Dec 2016=100","93.9"
"Consumer Price Index (Base Dec 2016=100)","2006M10","Food and non-alcoholic beverages","Base Dec 2016=100","104"
"Consumer Price Index (Base Dec 2016=100)","2006M11","All items","Base Dec 2016=100","94.3"
"Consumer Price Index (Base Dec 2016=100)","2006M11","Food and non-alcoholic beverages","Base Dec 2016=100","103.8"
"Consumer Price Index (Base Dec 2016=100)","2006M12","All items","Base Dec 2016=100","94.7"
"Consumer Price Index (Base Dec 2016=100)","2006M12","Food and non-alcoholic beverages","Base Dec 2016=100","104.1"
"Consumer Price Index (Base Dec 2016=100)","2007M01","All items","Base Dec 2016=100","94.5"
"Consumer Price Index (Base Dec 2016=100)","2007M01","Food and non-alcoholic beverages","Base Dec 2016=100","104.1"
"Consumer Price Index (Base Dec 2016=100)","2007M02","All items","Base Dec 2016=100","95.3"
"Consumer Price Index (Base Dec 2016=100)","2007M02","Food and non-alcoholic beverages","Base Dec 2016=100","104.2"
"Consumer Price Index (Base Dec 2016=100)","2007M03","All items","Base Dec 2016=100","96"
"Consumer Price Index (Base Dec 2016=100)","2007M03","Food and non-alcoholic beverages","Base Dec 2016=100","104.4"
"Consumer Price Index (Base Dec 2016=100)","2007M04","All items","Base Dec 2016=100","96.7"
"Consumer Price Index (Base Dec 2016=100)","2007M04","Food and non-alcoholic beverages","Base Dec 2016=100","105.6"
"Consumer Price Index (Base Dec 2016=100)","2007M05","All items","Base Dec 2016=100","97.1"
"Consumer Price Index (Base Dec 2016=100)","2007M05","Food and non-alcoholic beverages","Base Dec 2016=100","106.2"
"Consumer Price Index (Base Dec 2016=100)","2007M06","All items","Base Dec 2016=100","97.3"
"Consumer Price Index (Base Dec 2016=100)","2007M06","Food and non-alcoholic beverages","Base Dec 2016=100","106.7"
"Consumer Price Index (Base Dec 2016=100)","2007M07","All items","Base Dec 2016=100","97.6"
"Consumer Price Index (Base Dec 2016=100)","2007M07","Food and non-alcoholic beverages","Base Dec 2016=100","106.8"
"Consumer Price Index (Base Dec 2016=100)","2007M08","All items","Base Dec 2016=100","98"
"Consumer Price Index (Base Dec 2016=100)","2007M08","Food and non-alcoholic beverages","Base Dec 2016=100","106.8"
"Consumer Price Index (Base Dec 2016=100)","2007M09","All items","Base Dec 2016=100","98.3"
"Consumer Price Index (Base Dec 2016=100)","2007M09","Food and non-alcoholic beverages","Base Dec 2016=100","107.1"
"Consumer Price Index (Base Dec 2016=100)","2007M10","All items","Base Dec 2016=100","98.5"
"Consumer Price Index (Base Dec 2016=100)","2007M10","Food and non-alcoholic beverages","Base Dec 2016=100","108.5"
"Consumer Price Index (Base Dec 2016=100)","2007M11","All items","Base Dec 2016=100","99"
"Consumer Price Index (Base Dec 2016=100)","2007M11","Food and non-alcoholic beverages","Base Dec 2016=100","109.7"
"Consumer Price Index (Base Dec 2016=100)","2007M12","All items","Base Dec 2016=100","99.1"
"Consumer Price Index (Base Dec 2016=100)","2007M12","Food and non-alcoholic beverages","Base Dec 2016=100","110.6"
"Consumer Price Index (Base Dec 2016=100)","2008M01","All items","Base Dec 2016=100","98.6"
"Consumer Price Index (Base Dec 2016=100)","2008M01","Food and non-alcoholic beverages","Base Dec 2016=100","111"
"Consumer Price Index (Base Dec 2016=100)","2008M02","All items","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2008M02","Food and non-alcoholic beverages","Base Dec 2016=100","113"
"Consumer Price Index (Base Dec 2016=100)","2008M03","All items","Base Dec 2016=100","100.8"
"Consumer Price Index (Base Dec 2016=100)","2008M03","Food and non-alcoholic beverages","Base Dec 2016=100","114.1"
"Consumer Price Index (Base Dec 2016=100)","2008M04","All items","Base Dec 2016=100","100.9"
"Consumer Price Index (Base Dec 2016=100)","2008M04","Food and non-alcoholic beverages","Base Dec 2016=100","114.1"
"Consumer Price Index (Base Dec 2016=100)","2008M05","All items","Base Dec 2016=100","101.6"
"Consumer Price Index (Base Dec 2016=100)","2008M05","Food and non-alcoholic beverages","Base Dec 2016=100","114.6"
"Consumer Price Index (Base Dec 2016=100)","2008M06","All items","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2008M06","Food and non-alcoholic beverages","Base Dec 2016=100","114.4"
"Consumer Price Index (Base Dec 2016=100)","2008M07","All items","Base Dec 2016=100","101.9"
"Consumer Price Index (Base Dec 2016=100)","2008M07","Food and non-alcoholic beverages","Base Dec 2016=100","114.1"
"Consumer Price Index (Base Dec 2016=100)","2008M08","All items","Base Dec 2016=100","102.3"
"Consumer Price Index (Base Dec 2016=100)","2008M08","Food and non-alcoholic beverages","Base Dec 2016=100","113.8"
"Consumer Price Index (Base Dec 2016=100)","2008M09","All items","Base Dec 2016=100","102.6"
"Consumer Price Index (Base Dec 2016=100)","2008M09","Food and non-alcoholic beverages","Base Dec 2016=100","113.6"
"Consumer Price Index (Base Dec 2016=100)","2008M10","All items","Base Dec 2016=100","102.4"
"Consumer Price Index (Base Dec 2016=100)","2008M10","Food and non-alcoholic beverages","Base Dec 2016=100","113.5"
"Consumer Price Index (Base Dec 2016=100)","2008M11","All items","Base Dec 2016=100","101.5"
"Consumer Price Index (Base Dec 2016=100)","2008M11","Food and non-alcoholic beverages","Base Dec 2016=100","114.1"
"Consumer Price Index (Base Dec 2016=100)","2008M12","All items","Base Dec 2016=100","100.2"
"Consumer Price Index (Base Dec 2016=100)","2008M12","Food and non-alcoholic beverages","Base Dec 2016=100","114.1"
"Consumer Price Index (Base Dec 2016=100)","2009M01","All items","Base Dec 2016=100","98.6"
"Consumer Price Index (Base Dec 2016=100)","2009M01","Food and non-alcoholic beverages","Base Dec 2016=100","114.4"
"Consumer Price Index (Base Dec 2016=100)","2009M02","All items","Base Dec 2016=100","98.2"
"Consumer Price Index (Base Dec 2016=100)","2009M02","Food and non-alcoholic beverages","Base Dec 2016=100","113.9"
"Consumer Price Index (Base Dec 2016=100)","2009M03","All items","Base Dec 2016=100","98.1"
"Consumer Price Index (Base Dec 2016=100)","2009M03","Food and non-alcoholic beverages","Base Dec 2016=100","113.4"
"Consumer Price Index (Base Dec 2016=100)","2009M04","All items","Base Dec 2016=100","97.4"
"Consumer Price Index (Base Dec 2016=100)","2009M04","Food and non-alcoholic beverages","Base Dec 2016=100","112.2"
"Consumer Price Index (Base Dec 2016=100)","2009M05","All items","Base Dec 2016=100","96.9"
"Consumer Price Index (Base Dec 2016=100)","2009M05","Food and non-alcoholic beverages","Base Dec 2016=100","111.8"
"Consumer Price Index (Base Dec 2016=100)","2009M06","All items","Base Dec 2016=100","96.6"
"Consumer Price Index (Base Dec 2016=100)","2009M06","Food and non-alcoholic beverages","Base Dec 2016=100","110.7"
"Consumer Price Index (Base Dec 2016=100)","2009M07","All items","Base Dec 2016=100","95.9"
"Consumer Price Index (Base Dec 2016=100)","2009M07","Food and non-alcoholic beverages","Base Dec 2016=100","109.3"
"Consumer Price Index (Base Dec 2016=100)","2009M08","All items","Base Dec 2016=100","96.2"
"Consumer Price Index (Base Dec 2016=100)","2009M08","Food and non-alcoholic beverages","Base Dec 2016=100","108.2"
"Consumer Price Index (Base Dec 2016=100)","2009M09","All items","Base Dec 2016=100","95.9"
"Consumer Price Index (Base Dec 2016=100)","2009M09","Food and non-alcoholic beverages","Base Dec 2016=100","106.8"
"Consumer Price Index (Base Dec 2016=100)","2009M10","All items","Base Dec 2016=100","95.7"
"Consumer Price Index (Base Dec 2016=100)","2009M10","Food and non-alcoholic beverages","Base Dec 2016=100","106.2"
"Consumer Price Index (Base Dec 2016=100)","2009M11","All items","Base Dec 2016=100","95.7"
"Consumer Price Index (Base Dec 2016=100)","2009M11","Food and non-alcoholic beverages","Base Dec 2016=100","105.4"
"Consumer Price Index (Base Dec 2016=100)","2009M12","All items","Base Dec 2016=100","95.2"
"Consumer Price Index (Base Dec 2016=100)","2009M12","Food and non-alcoholic beverages","Base Dec 2016=100","104.8"
"Consumer Price Index (Base Dec 2016=100)","2010M01","All items","Base Dec 2016=100","94.7"
"Consumer Price Index (Base Dec 2016=100)","2010M01","Food and non-alcoholic beverages","Base Dec 2016=100","105"
"Consumer Price Index (Base Dec 2016=100)","2010M02","All items","Base Dec 2016=100","95.1"
"Consumer Price Index (Base Dec 2016=100)","2010M02","Food and non-alcoholic beverages","Base Dec 2016=100","104.8"
"Consumer Price Index (Base Dec 2016=100)","2010M03","All items","Base Dec 2016=100","95.1"
"Consumer Price Index (Base Dec 2016=100)","2010M03","Food and non-alcoholic beverages","Base Dec 2016=100","104.6"
"Consumer Price Index (Base Dec 2016=100)","2010M04","All items","Base Dec 2016=100","95.4"
"Consumer Price Index (Base Dec 2016=100)","2010M04","Food and non-alcoholic beverages","Base Dec 2016=100","104.3"
"Consumer Price Index (Base Dec 2016=100)","2010M05","All items","Base Dec 2016=100","95.9"
"Consumer Price Index (Base Dec 2016=100)","2010M05","Food and non-alcoholic beverages","Base Dec 2016=100","104.7"
"Consumer Price Index (Base Dec 2016=100)","2010M06","All items","Base Dec 2016=100","95.8"
"Consumer Price Index (Base Dec 2016=100)","2010M06","Food and non-alcoholic beverages","Base Dec 2016=100","104.8"
"Consumer Price Index (Base Dec 2016=100)","2010M07","All items","Base Dec 2016=100","95.8"
"Consumer Price Index (Base Dec 2016=100)","2010M07","Food and non-alcoholic beverages","Base Dec 2016=100","105.1"
"Consumer Price Index (Base Dec 2016=100)","2010M08","All items","Base Dec 2016=100","96.5"
"Consumer Price Index (Base Dec 2016=100)","2010M08","Food and non-alcoholic beverages","Base Dec 2016=100","104.8"
"Consumer Price Index (Base Dec 2016=100)","2010M09","All items","Base Dec 2016=100","96.3"
"Consumer Price Index (Base Dec 2016=100)","2010M09","Food and non-alcoholic beverages","Base Dec 2016=100","104.6"
"Consumer Price Index (Base Dec 2016=100)","2010M10","All items","Base Dec 2016=100","96.4"
"Consumer Price Index (Base Dec 2016=100)","2010M10","Food and non-alcoholic beverages","Base Dec 2016=100","104.8"
"Consumer Price Index (Base Dec 2016=100)","2010M11","All items","Base Dec 2016=100","96.2"
