"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1968M03","Shannon airport","Number","9.6"
"Most Sunshine Hours in a Day","1968M04","Shannon airport","Number","11.4"
"Most Sunshine Hours in a Day","1968M05","Shannon airport","Number","12.9"
"Most Sunshine Hours in a Day","1968M06","Shannon airport","Number","13.8"
"Most Sunshine Hours in a Day","1968M07","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1968M08","Shannon airport","Number","13"
"Most Sunshine Hours in a Day","1968M09","Shannon airport","Number","10.7"
"Most Sunshine Hours in a Day","1968M10","Shannon airport","Number","8.1"
"Most Sunshine Hours in a Day","1968M11","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1968M12","Shannon airport","Number","6.3"
"Most Sunshine Hours in a Day","1969M01","Shannon airport","Number","6.5"
"Most Sunshine Hours in a Day","1969M02","Shannon airport","Number","8.5"
"Most Sunshine Hours in a Day","1969M03","Shannon airport","Number","8"
"Most Sunshine Hours in a Day","1969M04","Shannon airport","Number","12"
"Most Sunshine Hours in a Day","1969M05","Shannon airport","Number","12.3"
"Most Sunshine Hours in a Day","1969M06","Shannon airport","Number","15.4"
"Most Sunshine Hours in a Day","1969M07","Shannon airport","Number","13.7"
"Most Sunshine Hours in a Day","1969M08","Shannon airport","Number","13.9"
"Most Sunshine Hours in a Day","1969M09","Shannon airport","Number","9.8"
"Most Sunshine Hours in a Day","1969M10","Shannon airport","Number","6.6"
"Most Sunshine Hours in a Day","1969M11","Shannon airport","Number","6"
"Most Sunshine Hours in a Day","1969M12","Shannon airport","Number","6.3"
"Most Sunshine Hours in a Day","1970M01","Shannon airport","Number","6.4"
"Most Sunshine Hours in a Day","1970M02","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1970M03","Shannon airport","Number","11.1"
"Most Sunshine Hours in a Day","1970M04","Shannon airport","Number","11.4"
"Most Sunshine Hours in a Day","1970M05","Shannon airport","Number","12.8"
"Most Sunshine Hours in a Day","1970M06","Shannon airport","Number","15.1"
"Most Sunshine Hours in a Day","1970M07","Shannon airport","Number","14.8"
"Most Sunshine Hours in a Day","1970M08","Shannon airport","Number","11.1"
"Most Sunshine Hours in a Day","1970M09","Shannon airport","Number","10.7"
"Most Sunshine Hours in a Day","1970M10","Shannon airport","Number","7.7"
"Most Sunshine Hours in a Day","1970M11","Shannon airport","Number","7"
"Most Sunshine Hours in a Day","1970M12","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1971M01","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1971M02","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1971M03","Shannon airport","Number","10.8"
"Most Sunshine Hours in a Day","1971M04","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1971M05","Shannon airport","Number","12.8"
"Most Sunshine Hours in a Day","1971M06","Shannon airport","Number","14.5"
"Most Sunshine Hours in a Day","1971M07","Shannon airport","Number","15.6"
"Most Sunshine Hours in a Day","1971M08","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1971M09","Shannon airport","Number","11.1"
"Most Sunshine Hours in a Day","1971M10","Shannon airport","Number","8.5"
"Most Sunshine Hours in a Day","1971M11","Shannon airport","Number","8"
"Most Sunshine Hours in a Day","1971M12","Shannon airport","Number","5.6"
"Most Sunshine Hours in a Day","1972M01","Shannon airport","Number","6.7"
"Most Sunshine Hours in a Day","1972M02","Shannon airport","Number","6.5"
"Most Sunshine Hours in a Day","1972M03","Shannon airport","Number","10.8"
"Most Sunshine Hours in a Day","1972M04","Shannon airport","Number","12.9"
"Most Sunshine Hours in a Day","1972M05","Shannon airport","Number","12"
"Most Sunshine Hours in a Day","1972M06","Shannon airport","Number","10.9"
"Most Sunshine Hours in a Day","1972M07","Shannon airport","Number","14.6"
"Most Sunshine Hours in a Day","1972M08","Shannon airport","Number","13.1"
"Most Sunshine Hours in a Day","1972M09","Shannon airport","Number","10.5"
"Most Sunshine Hours in a Day","1972M10","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1972M11","Shannon airport","Number","6.6"
"Most Sunshine Hours in a Day","1972M12","Shannon airport","Number","5.7"
"Most Sunshine Hours in a Day","1973M01","Shannon airport","Number","5.5"
"Most Sunshine Hours in a Day","1973M02","Shannon airport","Number","6.7"
"Most Sunshine Hours in a Day","1973M03","Shannon airport","Number","9.8"
"Most Sunshine Hours in a Day","1973M04","Shannon airport","Number","12.9"
"Most Sunshine Hours in a Day","1973M05","Shannon airport","Number","13.3"
"Most Sunshine Hours in a Day","1973M06","Shannon airport","Number","14.6"
"Most Sunshine Hours in a Day","1973M07","Shannon airport","Number","12.4"
"Most Sunshine Hours in a Day","1973M08","Shannon airport","Number","11.9"
"Most Sunshine Hours in a Day","1973M09","Shannon airport","Number","10.3"
"Most Sunshine Hours in a Day","1973M10","Shannon airport","Number","9.5"
"Most Sunshine Hours in a Day","1973M11","Shannon airport","Number","6.1"
"Most Sunshine Hours in a Day","1973M12","Shannon airport","Number","7"
"Most Sunshine Hours in a Day","1974M01","Shannon airport","Number","5.2"
"Most Sunshine Hours in a Day","1974M02","Shannon airport","Number","7"
"Most Sunshine Hours in a Day","1974M03","Shannon airport","Number","8.3"
"Most Sunshine Hours in a Day","1974M04","Shannon airport","Number","12.7"
"Most Sunshine Hours in a Day","1974M05","Shannon airport","Number","12.9"
"Most Sunshine Hours in a Day","1974M06","Shannon airport","Number","15.2"
"Most Sunshine Hours in a Day","1974M07","Shannon airport","Number","14.3"
"Most Sunshine Hours in a Day","1974M08","Shannon airport","Number","12"
"Most Sunshine Hours in a Day","1974M09","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1974M10","Shannon airport","Number","7.7"
"Most Sunshine Hours in a Day","1974M11","Shannon airport","Number","7.4"
"Most Sunshine Hours in a Day","1974M12","Shannon airport","Number","4.6"
"Most Sunshine Hours in a Day","1975M01","Shannon airport","Number","6.7"
"Most Sunshine Hours in a Day","1975M02","Shannon airport","Number","8.3"
"Most Sunshine Hours in a Day","1975M03","Shannon airport","Number","10.2"
"Most Sunshine Hours in a Day","1975M04","Shannon airport","Number","11.8"
"Most Sunshine Hours in a Day","1975M05","Shannon airport","Number","15.1"
"Most Sunshine Hours in a Day","1975M06","Shannon airport","Number","15.7"
"Most Sunshine Hours in a Day","1975M07","Shannon airport","Number","14.4"
"Most Sunshine Hours in a Day","1975M08","Shannon airport","Number","14.8"
"Most Sunshine Hours in a Day","1975M09","Shannon airport","Number","8.5"
"Most Sunshine Hours in a Day","1975M10","Shannon airport","Number","7.2"
"Most Sunshine Hours in a Day","1975M11","Shannon airport","Number","8.1"
"Most Sunshine Hours in a Day","1975M12","Shannon airport","Number","6.3"
"Most Sunshine Hours in a Day","1976M01","Shannon airport","Number","7.3"
"Most Sunshine Hours in a Day","1976M02","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1976M03","Shannon airport","Number","8.9"
"Most Sunshine Hours in a Day","1976M04","Shannon airport","Number","13.5"
"Most Sunshine Hours in a Day","1976M05","Shannon airport","Number","11.8"
"Most Sunshine Hours in a Day","1976M06","Shannon airport","Number","15.7"
"Most Sunshine Hours in a Day","1976M07","Shannon airport","Number","14"
"Most Sunshine Hours in a Day","1976M08","Shannon airport","Number","12.2"
"Most Sunshine Hours in a Day","1976M09","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1976M10","Shannon airport","Number","7.4"
"Most Sunshine Hours in a Day","1976M11","Shannon airport","Number","7.3"
"Most Sunshine Hours in a Day","1976M12","Shannon airport","Number","6"
"Most Sunshine Hours in a Day","1977M01","Shannon airport","Number","6.6"
"Most Sunshine Hours in a Day","1977M02","Shannon airport","Number","5.7"
"Most Sunshine Hours in a Day","1977M03","Shannon airport","Number","7.8"
"Most Sunshine Hours in a Day","1977M04","Shannon airport","Number","11.3"
"Most Sunshine Hours in a Day","1977M05","Shannon airport","Number","15.2"
"Most Sunshine Hours in a Day","1977M06","Shannon airport","Number","15.1"
"Most Sunshine Hours in a Day","1977M07","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1977M08","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1977M09","Shannon airport","Number","10.6"
"Most Sunshine Hours in a Day","1977M10","Shannon airport","Number","6.8"
"Most Sunshine Hours in a Day","1977M11","Shannon airport","Number","4.9"
"Most Sunshine Hours in a Day","1977M12","Shannon airport","Number","4"
"Most Sunshine Hours in a Day","1978M01","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1978M02","Shannon airport","Number","8.7"
"Most Sunshine Hours in a Day","1978M03","Shannon airport","Number","9.4"
"Most Sunshine Hours in a Day","1978M04","Shannon airport","Number","11.5"
"Most Sunshine Hours in a Day","1978M05","Shannon airport","Number","14.1"
"Most Sunshine Hours in a Day","1978M06","Shannon airport","Number","15.4"
"Most Sunshine Hours in a Day","1978M07","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1978M08","Shannon airport","Number","12.6"
"Most Sunshine Hours in a Day","1978M09","Shannon airport","Number","10.5"
"Most Sunshine Hours in a Day","1978M10","Shannon airport","Number","9.1"
"Most Sunshine Hours in a Day","1978M11","Shannon airport","Number","4.5"
"Most Sunshine Hours in a Day","1978M12","Shannon airport","Number","6.1"
"Most Sunshine Hours in a Day","1979M01","Shannon airport","Number","7.2"
"Most Sunshine Hours in a Day","1979M02","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1979M03","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1979M04","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1979M05","Shannon airport","Number","11.9"
"Most Sunshine Hours in a Day","1979M06","Shannon airport","Number","13.9"
"Most Sunshine Hours in a Day","1979M07","Shannon airport","Number","10.3"
"Most Sunshine Hours in a Day","1979M08","Shannon airport","Number","11.9"
"Most Sunshine Hours in a Day","1979M09","Shannon airport","Number","8.2"
"Most Sunshine Hours in a Day","1979M10","Shannon airport","Number","9.2"
"Most Sunshine Hours in a Day","1979M11","Shannon airport","Number","7.7"
"Most Sunshine Hours in a Day","1979M12","Shannon airport","Number","6.6"
"Most Sunshine Hours in a Day","1980M01","Shannon airport","Number","7.4"
"Most Sunshine Hours in a Day","1980M02","Shannon airport","Number","5.7"
"Most Sunshine Hours in a Day","1980M03","Shannon airport","Number","8.2"
"Most Sunshine Hours in a Day","1980M04","Shannon airport","Number","11"
"Most Sunshine Hours in a Day","1980M05","Shannon airport","Number","14.8"
"Most Sunshine Hours in a Day","1980M06","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1980M07","Shannon airport","Number","11.4"
"Most Sunshine Hours in a Day","1980M08","Shannon airport","Number","10.2"
"Most Sunshine Hours in a Day","1980M09","Shannon airport","Number","9.9"
"Most Sunshine Hours in a Day","1980M10","Shannon airport","Number","9.7"
"Most Sunshine Hours in a Day","1980M11","Shannon airport","Number","6.7"
"Most Sunshine Hours in a Day","1980M12","Shannon airport","Number","6.2"
"Most Sunshine Hours in a Day","1981M01","Shannon airport","Number","7.1"
"Most Sunshine Hours in a Day","1981M02","Shannon airport","Number","8.1"
"Most Sunshine Hours in a Day","1981M03","Shannon airport","Number","7.2"
"Most Sunshine Hours in a Day","1981M04","Shannon airport","Number","12.8"
"Most Sunshine Hours in a Day","1981M05","Shannon airport","Number","12.5"
"Most Sunshine Hours in a Day","1981M06","Shannon airport","Number","13.9"
"Most Sunshine Hours in a Day","1981M07","Shannon airport","Number","11.7"
"Most Sunshine Hours in a Day","1981M08","Shannon airport","Number","14"
"Most Sunshine Hours in a Day","1981M09","Shannon airport","Number","9.5"
"Most Sunshine Hours in a Day","1981M10","Shannon airport","Number","9.5"
"Most Sunshine Hours in a Day","1981M11","Shannon airport","Number","7"
"Most Sunshine Hours in a Day","1981M12","Shannon airport","Number","6.5"
"Most Sunshine Hours in a Day","1982M01","Shannon airport","Number","7.4"
"Most Sunshine Hours in a Day","1982M02","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1982M03","Shannon airport","Number","10.6"
"Most Sunshine Hours in a Day","1982M04","Shannon airport","Number","13.5"
"Most Sunshine Hours in a Day","1982M05","Shannon airport","Number","15.3"
"Most Sunshine Hours in a Day","1982M06","Shannon airport","Number","12.8"
"Most Sunshine Hours in a Day","1982M07","Shannon airport","Number","14.5"
"Most Sunshine Hours in a Day","1982M08","Shannon airport","Number","11.3"
"Most Sunshine Hours in a Day","1982M09","Shannon airport","Number","10.8"
"Most Sunshine Hours in a Day","1982M10","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1982M11","Shannon airport","Number","4"
"Most Sunshine Hours in a Day","1982M12","Shannon airport","Number","5.9"
"Most Sunshine Hours in a Day","1983M01","Shannon airport","Number","5.2"
"Most Sunshine Hours in a Day","1983M02","Shannon airport","Number","8.2"
"Most Sunshine Hours in a Day","1983M03","Shannon airport","Number","8.4"
"Most Sunshine Hours in a Day","1983M04","Shannon airport","Number","11.5"
"Most Sunshine Hours in a Day","1983M05","Shannon airport","Number","12.4"
"Most Sunshine Hours in a Day","1983M06","Shannon airport","Number","14.5"
"Most Sunshine Hours in a Day","1983M07","Shannon airport","Number","12.7"
"Most Sunshine Hours in a Day","1983M08","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1983M09","Shannon airport","Number","8.1"
"Most Sunshine Hours in a Day","1983M10","Shannon airport","Number","7.8"
"Most Sunshine Hours in a Day","1983M11","Shannon airport","Number","7"
"Most Sunshine Hours in a Day","1983M12","Shannon airport","Number","5.4"
"Most Sunshine Hours in a Day","1984M01","Shannon airport","Number","7.1"
"Most Sunshine Hours in a Day","1984M02","Shannon airport","Number","9.3"
"Most Sunshine Hours in a Day","1984M03","Shannon airport","Number","9.4"
"Most Sunshine Hours in a Day","1984M04","Shannon airport","Number","13"
"Most Sunshine Hours in a Day","1984M05","Shannon airport","Number","14.2"
"Most Sunshine Hours in a Day","1984M06","Shannon airport","Number","15.3"
"Most Sunshine Hours in a Day","1984M07","Shannon airport","Number","13.4"
"Most Sunshine Hours in a Day","1984M08","Shannon airport","Number","12.3"
"Most Sunshine Hours in a Day","1984M09","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1984M10","Shannon airport","Number","8.3"
"Most Sunshine Hours in a Day","1984M11","Shannon airport","Number","7.2"
"Most Sunshine Hours in a Day","1984M12","Shannon airport","Number","5.7"
"Most Sunshine Hours in a Day","1985M01","Shannon airport","Number","6.8"
"Most Sunshine Hours in a Day","1985M02","Shannon airport","Number","7"
"Most Sunshine Hours in a Day","1985M03","Shannon airport","Number","10.2"
"Most Sunshine Hours in a Day","1985M04","Shannon airport","Number","12.7"
"Most Sunshine Hours in a Day","1985M05","Shannon airport","Number","15.2"
"Most Sunshine Hours in a Day","1985M06","Shannon airport","Number","15.5"
"Most Sunshine Hours in a Day","1985M07","Shannon airport","Number","13.5"
"Most Sunshine Hours in a Day","1985M08","Shannon airport","Number","9.4"
"Most Sunshine Hours in a Day","1985M09","Shannon airport","Number","11.6"
"Most Sunshine Hours in a Day","1985M10","Shannon airport","Number","8.5"
"Most Sunshine Hours in a Day","1985M11","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1985M12","Shannon airport","Number","7.1"
"Most Sunshine Hours in a Day","1986M01","Shannon airport","Number","6.2"
"Most Sunshine Hours in a Day","1986M02","Shannon airport","Number","9.5"
"Most Sunshine Hours in a Day","1986M03","Shannon airport","Number","9.8"
"Most Sunshine Hours in a Day","1986M04","Shannon airport","Number","11.7"
"Most Sunshine Hours in a Day","1986M05","Shannon airport","Number","13.5"
"Most Sunshine Hours in a Day","1986M06","Shannon airport","Number","12.9"
"Most Sunshine Hours in a Day","1986M07","Shannon airport","Number","13.9"
"Most Sunshine Hours in a Day","1986M08","Shannon airport","Number","11.5"
"Most Sunshine Hours in a Day","1986M09","Shannon airport","Number","11.4"
"Most Sunshine Hours in a Day","1986M10","Shannon airport","Number","9.6"
"Most Sunshine Hours in a Day","1986M11","Shannon airport","Number","7.3"
"Most Sunshine Hours in a Day","1986M12","Shannon airport","Number","6.8"
"Most Sunshine Hours in a Day","1987M01","Shannon airport","Number","7.8"
"Most Sunshine Hours in a Day","1987M02","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1987M03","Shannon airport","Number","9.3"
"Most Sunshine Hours in a Day","1987M04","Shannon airport","Number","9.8"
"Most Sunshine Hours in a Day","1987M05","Shannon airport","Number","14.6"
"Most Sunshine Hours in a Day","1987M06","Shannon airport","Number","11.2"
"Most Sunshine Hours in a Day","1987M07","Shannon airport","Number","14.4"
"Most Sunshine Hours in a Day","1987M08","Shannon airport","Number","11.6"
"Most Sunshine Hours in a Day","1987M09","Shannon airport","Number","8.5"
"Most Sunshine Hours in a Day","1987M10","Shannon airport","Number","8.2"
"Most Sunshine Hours in a Day","1987M11","Shannon airport","Number","7.4"
"Most Sunshine Hours in a Day","1987M12","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1988M01","Shannon airport","Number","4.4"
"Most Sunshine Hours in a Day","1988M02","Shannon airport","Number","8.5"
"Most Sunshine Hours in a Day","1988M03","Shannon airport","Number","9.2"
