"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Plant protection products","Base 2015=100","99.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Veterinary expenses","Base 2015=100","99.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Feeding stuffs","Base 2015=100","107.79"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Straight feeding stuffs","Base 2015=100","112.51"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Compound feeding stuffs","Base 2015=100","107.55"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Compound feeding stuffs for calves","Base 2015=100","103.85"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Compound feeding stuffs for cattle excluding calves","Base 2015=100","106.61"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Compound feeding stuffs for pigs","Base 2015=100","104.84"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Compound feeding stuffs for poultry","Base 2015=100","114.75"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Other compound feeding stuffs","Base 2015=100","105.27"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Maintenance of materials and buildings","Base 2015=100","94.82"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M03","Other goods and services","Base 2015=100","100.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Agricultural output price index","Base 2015=100","110.56"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Crop output","Base 2015=100","99.5"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Cereals including seeds","Base 2015=100","111.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Fruit and Vegetables","Base 2015=100","99.49"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Potatoes including seeds","Base 2015=100","71.8"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Animal output","Base 2015=100","112.01"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Animals","Base 2015=100","96.16"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Cattle","Base 2015=100","91.58"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M04","Cattle excluding calves","Base 2015=100","91.67"
