Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Reefton Ews,3925,F21182,-42.116,171.860,198,G,Niwa / West Coast Rural Fire Dis
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
09,Total Sunshine,Hours
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig,
Reefton Ews,Mar-2005,00,144.0,-,-,D,
Reefton Ews,Mar-2005,02,14.8,-,-,D,
Reefton Ews,Apr-2005,00,68.8,-,-,D,
Reefton Ews,Apr-2005,02,10.8,-,-,D,
Reefton Ews,May-2005,00,90.6,-,-,D,
Reefton Ews,May-2005,02,9.2,-,-,D,
Reefton Ews,Jun-2005,00,143.6,-,-,D,
Reefton Ews,Jun-2005,02,5.5,-,-,D,
Reefton Ews,Jul-2005,00,152.6,-,-,D,
Reefton Ews,Jul-2005,02,7.0,-,-,D,
Reefton Ews,Aug-2005,00,104.0,-,-,D,
Reefton Ews,Aug-2005,02,8.7,-,-,D,
Reefton Ews,Sep-2005,00,75.8,-,-,D,
Reefton Ews,Sep-2005,02,10.7,-,-,D,
Reefton Ews,Oct-2005,00,105.2,-,-,D,
Reefton Ews,Oct-2005,02,11.9,-,-,D,
Reefton Ews,Nov-2005,00,55.2,-,-,D,
Reefton Ews,Nov-2005,02,14.7,-,-,D,
Reefton Ews,Dec-2005,00,136.8,-,-,D,
Reefton Ews,Dec-2005,02,18.2,-,-,D,
Reefton Ews,Jan-2006,00,134.6,-,-,D,
Reefton Ews,Jan-2006,02,16.8,-,-,D,
Reefton Ews,Feb-2006,00,67.0,-,-,D,
Reefton Ews,Feb-2006,02,17.5,-,-,D,
Reefton Ews,Mar-2006,00,65.6,-,-,D,
Reefton Ews,Mar-2006,02,14.9,-,-,D,
Reefton Ews,Apr-2006,00,373.2,-,-,D,
Reefton Ews,Apr-2006,02,13.4,*,-,D,
Reefton Ews,May-2006,00,75.4,-,-,D,
Reefton Ews,May-2006,02,9.1,-,-,D,
Reefton Ews,Jun-2006,00,256.6,-,-,D,
Reefton Ews,Jun-2006,02,4.4,-,-,D,
Reefton Ews,Jul-2006,00,134.4,-,-,D,
Reefton Ews,Jul-2006,02,5.4,-,-,D,
Reefton Ews,Aug-2006,00,93.4,-,-,D,
Reefton Ews,Aug-2006,02,6.8,-,-,D,
Reefton Ews,Sep-2006,00,129.4,-,-,D,
Reefton Ews,Sep-2006,02,10.8,-,-,D,
Reefton Ews,Oct-2006,00,164.8,-,-,D,
Reefton Ews,Oct-2006,02,11.1,-,-,D,
Reefton Ews,Nov-2006,00,351.0,-,-,D,
Reefton Ews,Nov-2006,02,12.3,-,-,D,
