Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,042027,2007,08,15.1
IDCJAC0003,042027,2007,09,20.8
IDCJAC0003,042027,2007,10,23.4
IDCJAC0003,042027,2007,11,21.9
IDCJAC0003,042027,2007,12,23.1
IDCJAC0003,042027,2008,01,22.1
IDCJAC0003,042027,2008,02,23.3
IDCJAC0003,042027,2008,03,23.4
IDCJAC0003,042027,2008,04,18.2
IDCJAC0003,042027,2008,05,14.6
IDCJAC0003,042027,2008,06,11.5
IDCJAC0003,042027,2008,07,12.4
IDCJAC0003,042027,2008,08,16.2
IDCJAC0003,042027,2008,09,19.1
IDCJAC0003,042027,2008,10,24.3
IDCJAC0003,042027,2008,11,23.1
IDCJAC0003,042027,2008,12,26.9
IDCJAC0003,042027,2009,01,25.4
IDCJAC0003,042027,2009,02,24.7
IDCJAC0003,042027,2009,03,22.9
IDCJAC0003,042027,2009,04,16.2
IDCJAC0003,042027,2009,05,12.8
IDCJAC0003,042027,2009,06,11.5
IDCJAC0003,042027,2009,07,13.1
IDCJAC0003,042027,2009,08,16.1
IDCJAC0003,042027,2009,09,19.4
IDCJAC0003,042027,2009,10,23.5
IDCJAC0003,042027,2009,11,25.8
IDCJAC0003,042027,2009,12,23.3
IDCJAC0003,042027,2010,01,27.6
IDCJAC0003,042027,2010,02,21.2
IDCJAC0003,042027,2010,03,19.7
IDCJAC0003,042027,2010,04,17.2
IDCJAC0003,042027,2010,05,12.9
IDCJAC0003,042027,2010,06,11.8
IDCJAC0003,042027,2010,07,10.9
IDCJAC0003,042027,2010,08,15.1
IDCJAC0003,042027,2010,09,16.6
IDCJAC0003,042027,2010,10,20.4
IDCJAC0003,042027,2010,11,21.0
IDCJAC0003,042027,2010,12,21.7
IDCJAC0003,042027,2011,01,27.3
IDCJAC0003,042027,2011,02,25.5
IDCJAC0003,042027,2011,03,18.8
IDCJAC0003,042027,2011,04,17.9
IDCJAC0003,042027,2011,05,13.4
IDCJAC0003,042027,2011,06,11.5
IDCJAC0003,042027,2011,07,12.4
IDCJAC0003,042027,2011,08,15.1
IDCJAC0003,042027,2011,09,19.6
IDCJAC0003,042027,2011,10,22.0
IDCJAC0003,042027,2011,11,23.2
IDCJAC0003,042027,2011,12,24.0
IDCJAC0003,042027,2012,01,24.1
IDCJAC0003,042027,2012,02,22.9
IDCJAC0003,042027,2012,03,21.3
IDCJAC0003,042027,2012,04,16.7
IDCJAC0003,042027,2012,05,14.4
IDCJAC0003,042027,2012,06,11.4
IDCJAC0003,042027,2012,07,12.5
IDCJAC0003,042027,2012,08,17.5
IDCJAC0003,042027,2012,09,20.2
IDCJAC0003,042027,2012,10,24.1
IDCJAC0003,042027,2012,11,25.9
IDCJAC0003,042027,2012,12,28.3
IDCJAC0003,042027,2013,01,27.5
IDCJAC0003,042027,2013,02,24.8
IDCJAC0003,042027,2013,03,21.3
IDCJAC0003,042027,2013,04,18.6
IDCJAC0003,042027,2013,05,13.6
IDCJAC0003,042027,2013,06,10.5
IDCJAC0003,042027,2013,07,13.0
IDCJAC0003,042027,2013,08,17.1
IDCJAC0003,042027,2013,09,20.7
IDCJAC0003,042027,2013,10,23.6
IDCJAC0003,042027,2013,11,24.5
IDCJAC0003,042027,2013,12,28.9
IDCJAC0003,042027,2014,01,28.2
IDCJAC0003,042027,2014,02,21.7
IDCJAC0003,042027,2014,03,18.5
IDCJAC0003,042027,2014,04,16.9
IDCJAC0003,042027,2014,05,13.8
IDCJAC0003,042027,2014,06,12.3
IDCJAC0003,042027,2014,07,13.8
IDCJAC0003,042027,2014,08,15.3
IDCJAC0003,042027,2014,09,19.7
IDCJAC0003,042027,2014,10,24.7
IDCJAC0003,042027,2014,11,24.6
IDCJAC0003,042027,2014,12,23.7
IDCJAC0003,042027,2015,01,23.5
IDCJAC0003,042027,2015,02,24.8
IDCJAC0003,042027,2015,03,21.0
IDCJAC0003,042027,2015,04,16.6
IDCJAC0003,042027,2015,05,13.0
IDCJAC0003,042027,2015,06,12.0
IDCJAC0003,042027,2015,07,12.4
IDCJAC0003,042027,2015,08,16.1
IDCJAC0003,042027,2015,09,20.2
IDCJAC0003,042027,2015,10,23.0
IDCJAC0003,042027,2015,11,26.5
IDCJAC0003,042027,2015,12,26.6
IDCJAC0003,042027,2016,01,23.3
IDCJAC0003,042027,2016,02,25.4
IDCJAC0003,042027,2016,03,20.5
IDCJAC0003,042027,2016,04,18.1
IDCJAC0003,042027,2016,05,13.9
IDCJAC0003,042027,2016,06,10.3
IDCJAC0003,042027,2016,07,12.8
IDCJAC0003,042027,2016,08,15.2
IDCJAC0003,042027,2016,09,17.4
IDCJAC0003,042027,2016,10,22.6
IDCJAC0003,042027,2016,11,25.5
IDCJAC0003,042027,2016,12,26.7
IDCJAC0003,042027,2017,01,27.6
IDCJAC0003,042027,2017,02,26.0
IDCJAC0003,042027,2017,03,19.6
IDCJAC0003,042027,2017,04,17.8
IDCJAC0003,042027,2017,05,14.0
IDCJAC0003,042027,2017,06,12.7
IDCJAC0003,042027,2017,07,13.4
IDCJAC0003,042027,2017,08,17.0
IDCJAC0003,042027,2017,09,20.3
IDCJAC0003,042027,2017,10,20.4
IDCJAC0003,042027,2017,11,26.7
IDCJAC0003,042027,2017,12,27.4
IDCJAC0003,042027,2018,01,28.0
IDCJAC0003,042027,2018,02,23.0
IDCJAC0003,042027,2018,03,20.9
IDCJAC0003,042027,2018,04,18.3
IDCJAC0003,042027,2018,05,14.4
IDCJAC0003,042027,2018,06,12.6
IDCJAC0003,042027,2018,07,13.6
IDCJAC0003,042027,2018,08,16.4
IDCJAC0003,042027,2018,09,20.1
IDCJAC0003,042027,2018,10,22.3
IDCJAC0003,042027,2018,11,26.4
IDCJAC0003,042027,2018,12,28.8
IDCJAC0003,042027,2019,01,28.5
IDCJAC0003,042027,2019,02,25.8
IDCJAC0003,042027,2019,03,20.0
IDCJAC0003,042027,2019,04,17.3
IDCJAC0003,042027,2019,05,13.6
IDCJAC0003,042027,2019,06,12.4
IDCJAC0003,042027,2019,07,13.4
IDCJAC0003,042027,2019,08,16.4
IDCJAC0003,042027,2019,09,20.8
IDCJAC0003,042027,2019,10,24.8
IDCJAC0003,042027,2019,11,27.7
IDCJAC0003,042027,2019,12,29.3
IDCJAC0003,042027,2020,01,26.0
IDCJAC0003,042027,2020,02,21.5
IDCJAC0003,042027,2020,03,20.3
IDCJAC0003,042027,2020,04,16.3
IDCJAC0003,042027,2020,05,13.8
IDCJAC0003,042027,2020,06,12.9
IDCJAC0003,042027,2020,07,13.4
IDCJAC0003,042027,2020,08,15.8
