"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1967M11","Rosslare","Number","8"
"Most Sunshine Hours in a Day","1967M12","Rosslare","Number","7.3"
"Most Sunshine Hours in a Day","1968M01","Rosslare","Number","5.8"
"Most Sunshine Hours in a Day","1968M02","Rosslare","Number","9.3"
"Most Sunshine Hours in a Day","1968M03","Rosslare","Number","10.5"
"Most Sunshine Hours in a Day","1968M04","Rosslare","Number","12.1"
"Most Sunshine Hours in a Day","1968M05","Rosslare","Number","14"
"Most Sunshine Hours in a Day","1968M06","Rosslare","Number","15.8"
"Most Sunshine Hours in a Day","1968M07","Rosslare","Number","14.7"
"Most Sunshine Hours in a Day","1968M08","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1968M09","Rosslare","Number","11.8"
"Most Sunshine Hours in a Day","1968M10","Rosslare","Number","8.5"
"Most Sunshine Hours in a Day","1968M11","Rosslare","Number","8.3"
"Most Sunshine Hours in a Day","1968M12","Rosslare","Number","7"
"Most Sunshine Hours in a Day","1969M01","Rosslare","Number","7.1"
"Most Sunshine Hours in a Day","1969M02","Rosslare","Number","8.5"
"Most Sunshine Hours in a Day","1969M03","Rosslare","Number","10.2"
"Most Sunshine Hours in a Day","1969M04","Rosslare","Number","12"
"Most Sunshine Hours in a Day","1969M05","Rosslare","Number","12.1"
"Most Sunshine Hours in a Day","1969M06","Rosslare","Number","15.2"
"Most Sunshine Hours in a Day","1969M07","Rosslare","Number","14.8"
"Most Sunshine Hours in a Day","1969M08","Rosslare","Number","13.3"
"Most Sunshine Hours in a Day","1969M09","Rosslare","Number","10.7"
"Most Sunshine Hours in a Day","1969M10","Rosslare","Number","8.7"
"Most Sunshine Hours in a Day","1969M11","Rosslare","Number","7.5"
"Most Sunshine Hours in a Day","1969M12","Rosslare","Number","7.1"
"Most Sunshine Hours in a Day","1970M01","Rosslare","Number","7.4"
"Most Sunshine Hours in a Day","1970M02","Rosslare","Number","8.6"
"Most Sunshine Hours in a Day","1970M03","Rosslare","Number","9.8"
"Most Sunshine Hours in a Day","1970M04","Rosslare","Number","10.3"
"Most Sunshine Hours in a Day","1970M05","Rosslare","Number","14.4"
"Most Sunshine Hours in a Day","1970M06","Rosslare","Number","15.3"
"Most Sunshine Hours in a Day","1970M07","Rosslare","Number","13.6"
"Most Sunshine Hours in a Day","1970M08","Rosslare","Number","11.4"
"Most Sunshine Hours in a Day","1970M09","Rosslare","Number","9.7"
"Most Sunshine Hours in a Day","1970M10","Rosslare","Number","9.7"
"Most Sunshine Hours in a Day","1970M11","Rosslare","Number","8"
"Most Sunshine Hours in a Day","1970M12","Rosslare","Number","6.5"
"Most Sunshine Hours in a Day","1971M01","Rosslare","Number","6"
"Most Sunshine Hours in a Day","1971M02","Rosslare","Number","9.3"
"Most Sunshine Hours in a Day","1971M03","Rosslare","Number","9.5"
"Most Sunshine Hours in a Day","1971M04","Rosslare","Number","12.2"
"Most Sunshine Hours in a Day","1971M05","Rosslare","Number","14.2"
"Most Sunshine Hours in a Day","1971M06","Rosslare","Number","15"
"Most Sunshine Hours in a Day","1971M07","Rosslare","Number","15.9"
"Most Sunshine Hours in a Day","1971M08","Rosslare","Number","13.7"
"Most Sunshine Hours in a Day","1971M09","Rosslare","Number","12.2"
"Most Sunshine Hours in a Day","1971M10","Rosslare","Number","8.8"
"Most Sunshine Hours in a Day","1971M11","Rosslare","Number","8.2"
"Most Sunshine Hours in a Day","1971M12","Rosslare","Number","5.8"
"Most Sunshine Hours in a Day","1972M01","Rosslare","Number","7.7"
"Most Sunshine Hours in a Day","1972M02","Rosslare","Number","7.5"
"Most Sunshine Hours in a Day","1972M03","Rosslare","Number","11.1"
"Most Sunshine Hours in a Day","1972M04","Rosslare","Number","12.2"
"Most Sunshine Hours in a Day","1972M05","Rosslare","Number","13.7"
"Most Sunshine Hours in a Day","1972M06","Rosslare","Number","13.8"
"Most Sunshine Hours in a Day","1972M07","Rosslare","Number","14.8"
"Most Sunshine Hours in a Day","1972M08","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1972M09","Rosslare","Number","10.7"
"Most Sunshine Hours in a Day","1972M10","Rosslare","Number","10"
"Most Sunshine Hours in a Day","1972M11","Rosslare","Number","7.8"
"Most Sunshine Hours in a Day","1972M12","Rosslare","Number","6.6"
"Most Sunshine Hours in a Day","1973M01","Rosslare","Number","6.9"
"Most Sunshine Hours in a Day","1973M02","Rosslare","Number","7.2"
"Most Sunshine Hours in a Day","1973M03","Rosslare","Number","10.3"
"Most Sunshine Hours in a Day","1973M04","Rosslare","Number","12.6"
"Most Sunshine Hours in a Day","1973M05","Rosslare","Number","14.7"
"Most Sunshine Hours in a Day","1973M06","Rosslare","Number","15.6"
"Most Sunshine Hours in a Day","1973M07","Rosslare","Number","13.8"
"Most Sunshine Hours in a Day","1973M08","Rosslare","Number","14"
"Most Sunshine Hours in a Day","1973M09","Rosslare","Number","10.8"
"Most Sunshine Hours in a Day","1973M10","Rosslare","Number","9.9"
"Most Sunshine Hours in a Day","1973M11","Rosslare","Number","8.1"
"Most Sunshine Hours in a Day","1973M12","Rosslare","Number","6.8"
"Most Sunshine Hours in a Day","1974M01","Rosslare","Number","6.6"
"Most Sunshine Hours in a Day","1974M02","Rosslare","Number","7.1"
"Most Sunshine Hours in a Day","1974M03","Rosslare","Number","10.3"
"Most Sunshine Hours in a Day","1974M04","Rosslare","Number","12.5"
"Most Sunshine Hours in a Day","1974M05","Rosslare","Number","15.4"
"Most Sunshine Hours in a Day","1974M06","Rosslare","Number","15.2"
"Most Sunshine Hours in a Day","1974M07","Rosslare","Number","15.2"
"Most Sunshine Hours in a Day","1974M08","Rosslare","Number","13.5"
"Most Sunshine Hours in a Day","1974M09","Rosslare","Number","10"
"Most Sunshine Hours in a Day","1974M10","Rosslare","Number","9.2"
"Most Sunshine Hours in a Day","1974M11","Rosslare","Number","7.5"
"Most Sunshine Hours in a Day","1974M12","Rosslare","Number","6.2"
"Most Sunshine Hours in a Day","1975M01","Rosslare","Number","6.4"
"Most Sunshine Hours in a Day","1975M02","Rosslare","Number","8"
"Most Sunshine Hours in a Day","1975M03","Rosslare","Number","9.4"
"Most Sunshine Hours in a Day","1975M04","Rosslare","Number","13.3"
"Most Sunshine Hours in a Day","1975M05","Rosslare","Number","14.5"
"Most Sunshine Hours in a Day","1975M06","Rosslare","Number","15.4"
"Most Sunshine Hours in a Day","1975M07","Rosslare","Number","14.3"
"Most Sunshine Hours in a Day","1975M08","Rosslare","Number","12.2"
"Most Sunshine Hours in a Day","1975M09","Rosslare","Number","12.8"
"Most Sunshine Hours in a Day","1975M10","Rosslare","Number","8.8"
"Most Sunshine Hours in a Day","1975M11","Rosslare","Number","8.3"
"Most Sunshine Hours in a Day","1975M12","Rosslare","Number","6.7"
"Most Sunshine Hours in a Day","1976M01","Rosslare","Number","7.3"
"Most Sunshine Hours in a Day","1976M02","Rosslare","Number","7.1"
"Most Sunshine Hours in a Day","1976M03","Rosslare","Number","9.5"
"Most Sunshine Hours in a Day","1976M04","Rosslare","Number","13.2"
"Most Sunshine Hours in a Day","1976M05","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1976M06","Rosslare","Number","14.9"
"Most Sunshine Hours in a Day","1976M07","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1976M08","Rosslare","Number","13.8"
