iter	Passed	Remaining
856	6428	1072
857	6435	1065
858	6441	1057
859	6449	1049
860	6455	1042
861	6463	1034
862	6469	1026
863	6475	1019
864	6482	1011
865	6490	1004
866	6498	996
867	6505	989
868	6512	981
869	6519	974
870	6526	966
871	6532	958
872	6539	951
873	6546	943
874	6552	936
875	6560	928
876	6566	921
877	6573	913
878	6580	905
879	6588	898
880	6596	890
881	6602	883
882	6610	875
883	6617	868
884	6623	860
885	6630	853
886	6637	845
887	6644	838
888	6652	830
889	6660	823
890	6666	815
891	6674	808
892	6679	800
893	6688	793
894	6696	785
895	6704	778
896	6710	770
897	6717	763
898	6724	755
899	6730	747
900	6737	740
901	6743	732
902	6750	725
903	6757	717
904	6764	710
905	6771	702
906	6777	694
907	6785	687
908	6791	679
909	6799	672
910	6806	664
911	6813	657
912	6820	649
913	6826	642
914	6833	634
915	6839	627
916	6845	619
917	6852	612
918	6858	604
919	6864	596
920	6871	589
921	6877	581
922	6884	574
923	6891	566
924	6898	559
925	6905	551
926	6911	544
927	6918	536
928	6924	529
929	6933	521
930	6939	514
931	6945	506
932	6952	499
933	6958	491
934	6965	484
935	6971	476
936	6978	469
937	6984	461
938	6991	454
939	6999	446
940	7006	439
941	7013	431
942	7020	424
943	7027	416
944	7033	409
945	7039	401
946	7046	394
947	7053	386
948	7060	379
949	7066	371
950	7074	364
951	7081	357
952	7087	349
953	7095	342
954	7102	334
955	7109	327
956	7116	319
957	7123	312
958	7131	304
959	7138	297
960	7145	289
961	7151	282
962	7162	275
963	7171	267
964	7179	260
965	7187	252
966	7194	245
967	7201	238
968	7208	230
969	7214	223
970	7222	215
971	7228	208
972	7236	200
973	7243	193
974	7249	185
975	7256	178
976	7263	171
977	7270	163
978	7277	156
979	7284	148
980	7290	141
981	7296	133
982	7303	126
983	7310	118
984	7318	111
985	7325	104
986	7334	96
987	7342	89
988	7351	81
989	7357	74
990	7377	67
991	7387	59
992	7395	52
993	7403	44
994	7411	37
995	7418	29
996	7425	22
997	7434	14
998	7441	7
999	7450	0
